3618AWBS2, CS3649C, 8353411.00, 1A, GNR 2023-063
3618BFVS6, CT9625C, 3629649.00, 1A, GNR 2023-063
3618B2ZA0, CS8837C, 1244904.00, 1A, GNR 2023-063
3618B1VA6, CS7809C, 7000001.00, 1A, GNR 2023-063
3618AK3W8, CR5313C, 3670400.00, 1A, GNR 2023-063
3618AX2T8, CS5286C, 4287440.00, 1A, GNR 2023-063
3618B9H31, CT3850C, 3585536.00, 1A, GNR 2023-063
3618B0KC6, CS6591C, 1730797.00, 1A, GNR 2023-063
3618BFVP2, CT9622C, 1045203.00, 1A, GNR 2023-063
3618B6HV5, CT1144C, 3531676.00, 1A, GNR 2023-063
3618AYQJ2, CS5857C, 1375160.00, 1A, GNR 2023-063
3618B9MW1, CT3973C, 1456267.00, 1A, GNR 2023-063
3618BFQM5, CT9460C, 1182926.00, 1A, GNR 2023-063
3618AWBR4, CS3648C, 6657068.00, 1A, GNR 2023-063
3618BEDM2, CT8208C, 2463822.00, 1A, GNR 2023-063
3618BFVR8, CT9624C, 2307889.00, 1A, GNR 2023-063
3617XXD63, CK2825C, 1190998.00, 1A, GNR 2023-063
3618ALHQ4, CR5639C, 1166601.00, 1A, GNR 2023-063
3618BLX69, CU3401C, 1026152.00, 1A, GNR 2023-063
3618BFVQ0, CT9623C, 1877373.00, 1A, GNR 2023-063
3618BFQU7, CT9467C, 1006918.00, 1A, GNR 2023-063
3618B6HQ6, CT1139C, 2168072.00, 1A, GNR 2023-063
3618B9H49, CT3851C, 3172947.00, 1A, GNR 2023-063
3618B9ND2, CT3988C, 1254322.00, 1A, GNR 2023-063
3618AWBN3, CS3645C, 5254208.00, 1A, GNR 2023-063
3618AKZV5, CR5256C, 1435345.00, 1A, GNR 2023-063
3618BFVN7, CT9621C, 1992822.00, 1A, GNR 2023-063
3618BMTD7, CU4148C, 1128554.00, 1A, GNR 2023-063
3618B9JJ4, CT3865C, 2377346.00, 1A, GNR 2023-063
3618B9MV3, CT3972C, 1106392.00, 1A, GNR 2023-063
3618ALHP6, CR5638C, 1467205.00, 1A, GNR 2023-063
3618B2QU6, CS8567C, 1032001.00, 1A, GNR 2023-063
3618BAMD0, CT4856C, 1544014.00, 1A, GNR 2023-063
3618B9ZR8, CT4352C, 1999798.00, 1A, GNR 2023-063
3618BFVL1, CT9619C, 1000942.00, 1A, GNR 2023-063
3618BMTB1, CU4146C, 1105435.00, 1A, GNR 2023-063
36179XX76, MA8802M, 175118529.00, 1B, GNR 2023-063
3618APJX8, CR8378C, 1591773.00, 2, GNR 2023-063
3618B3WV5, CS9660C, 1000522.00, 2, GNR 2023-063
3618BFQS2, CT9465C, 1080265.00, 2, GNR 2023-063
3618AXZY1, CS5259C, 1433195.00, 2, GNR 2023-063
3618AKNX4, CR4906C, 1695482.00, 2, GNR 2023-063
3618B32J5, CS9777C, 970250.00, 2, GNR 2023-063
3618BAG88, CT4723C, 1076541.00, 2, GNR 2023-063
3618B2UW7, CS8697C, 1453807.00, 2, GNR 2023-063
3618BAJ69, CT4785C, 1465805.00, 2, GNR 2023-063
3618B0KZ5, CS6612C, 1893465.00, 2, GNR 2023-063
