36179X5J1, MA8949M, 50000000.00, 1, GNR 2023-096
36179X5J1, MA8949M, 47191229.00, 1, GNR 2023-096
36179XNH5, MA8492M, 50000000.00, 2, GNR 2023-096
36179XNH5, MA8492M, 50000000.00, 2, GNR 2023-096
36179XNH5, MA8492M, 50000000.00, 2, GNR 2023-096
36179XNH5, MA8492M, 50000000.00, 2, GNR 2023-096
36179XNH5, MA8492M, 15635560.00, 2, GNR 2023-096
36179YAT1, MA9018M, 50000000.00, 3, GNR 2023-096
36179YAT1, MA9018M, 50000000.00, 3, GNR 2023-096
36179YAT1, MA9018M, 50000000.00, 4, GNR 2023-096
36179YAT1, MA9018M, 50000000.00, 4, GNR 2023-096
36179YAT1, MA9018M, 11111111.00, 4, GNR 2023-096
3618AXN99, CS4916C, 1199647.00, 5, GNR 2023-096
3618BANY3, CT4907C, 1247600.00, 5, GNR 2023-096
3618BB4X4, CT6238C, 2053575.00, 5, GNR 2023-096
3618BDGT6, CT7410C, 3362270.00, 5, GNR 2023-096
3618BL3Z8, CU3516C, 1087639.00, 5, GNR 2023-096
3618BMBT1, CU3650C, 1239000.00, 5, GNR 2023-096
3618BNQ63, CU4977C, 4400485.00, 5, GNR 2023-096
3618BNUK7, CU5086C, 2051267.00, 5, GNR 2023-096
3618BPFA1, CU5561C, 3106864.00, 5, GNR 2023-096
3618BQVZ6, CU6932C, 1112292.00, 5, GNR 2023-096
3618BTEG1, CU9135C, 1199903.00, 5, GNR 2023-096
3618BTT67, CU9573C, 21618851.00, 5, GNR 2023-096
3618BY2L2, CV3479C, 9800909.00, 5, GNR 2023-096
3618BYU64, CV3305C, 1036567.00, 5, GNR 2023-096
3618F0FV6, CV3780C, 2035815.00, 5, GNR 2023-096
3618F1F28, CV4685C, 9471287.00, 5, GNR 2023-096
3618F1K89, CV4819C, 7118107.00, 5, GNR 2023-096
3618F2ST3, CV5930C, 4939115.00, 5, GNR 2023-096
3618F33D3, CV7096C, 6194911.00, 5, GNR 2023-096
3618F4MK4, CV7562C, 10719010.00, 5, GNR 2023-096
3618F87D8, CW0892C, 2353443.00, 5, GNR 2023-096
3618F87E6, CW0893C, 1209069.00, 5, GNR 2023-096
3618FAUD7, CW2380C, 1121979.00, 5, GNR 2023-096
3618FBUC7, CW3279C, 4047015.00, 5, GNR 2023-096
3618BWE33, CV1054C, 3770220.00, 6, GNR 2023-096
3618F35D1, CV7144C, 5728894.00, 6, GNR 2023-096
3618F35E9, CV7145C, 7197327.00, 6, GNR 2023-096
3618F6L87, CV9351C, 1599128.00, 6, GNR 2023-096
3618BAFX4, CT4682C, 100000.00, 7, GNR 2023-096
3618BAFY2, CT4683C, 129664.00, 7, GNR 2023-096
3618BQVS2, CU6925C, 1397976.00, 7, GNR 2023-096
3617FHN34, CO5810C, 30337.00, T, GNR 2023-096
36179YAT1, MA9018M, 108333334.00, 1, GNR 2023-097
36179YAT1, MA9018M, 108333334.00, 2, GNR 2023-097
36179X5J1, MA8949M, 100229669.00, 3, GNR 2023-097
36179XX43, MA8799M, 40287.00, T, GNR 2023-097
36179X5J1, MA8949M, 129925715.00, 1, GNR 2023-098
36179XX68, MA8801M, 23100000.00, 2, GNR 2023-098
36179X5J1, MA8949M, 46541005.00, 3, GNR 2023-098
36179YAT1, MA9018M, 28565640.00, 3, GNR 2023-098
36179YAU8, MA9019M, 107692308.00, 4, GNR 2023-098
38383WHP4, GN-2023-038-NB, 16718250.00, 5, GNR 2023-098
38383WJU1, GN-2023-038-NY, 1479920.00, 5, GNR 2023-098
38383X5G5, GN-2023-076-DB, 4444445.00, 5, GNR 2023-098
38384AL92, GN-2023-084-CW, 6819202.00, 5, GNR 2023-098
36179YAT1, MA9018M, 29166667.00, 6, GNR 2023-098
36179YAT1, MA9018M, 58500000.00, 7, GNR 2023-098
38383WHU3, GN-2023-038-LB, 4206880.00, 8A, GNR 2023-098
38383WMD5, GN-2023-038-LY, 11148313.00, 8A, GNR 2023-098
38383LZV5, GN-2022-213-NZ, 1221262.00, 8B, GNR 2023-098
38383LZW3, GN-2022-213-ZN, 3947000.00, 8B, GNR 2023-098
38383WHA7, GN-2023-038-GZ, 4558000.00, 8B, GNR 2023-098
36179YAS3, MA9017M, 40000.00, T, GNR 2023-098
36179X5J1, MA8949M, 55328143.00, 1, GNR 2023-099
36179YAT1, MA9018M, 100291176.00, 1, GNR 2023-099
38383XUB8, GN-2023-059-BL, 1556400.00, 2, GNR 2023-099
38383XUC6, GN-2023-059-CM, 688511.00, 2, GNR 2023-099
38383XUD4, GN-2023-059-DM, 752530.00, 2, GNR 2023-099
38383XUF9, GN-2023-059-EM, 1690339.00, 2, GNR 2023-099
3618A3DD7, CQ1000C, 2482275.00, 3A, GNR 2023-099
3618A5TZ6, CQ3268C, 1104355.00, 3A, GNR 2023-099
3618A8TN7, CQ5957C, 1198265.00, 3A, GNR 2023-099
3618ACSK5, CQ9522C, 2025749.00, 3A, GNR 2023-099
3618AQX69, CR9701C, 1111407.00, 3A, GNR 2023-099
3618AQX85, CR9703C, 1131685.00, 3A, GNR 2023-099
3618AS3R2, CS0808C, 2421437.00, 3A, GNR 2023-099
3618ATET4, CS1046C, 1396919.00, 3A, GNR 2023-099
3618ATEU1, CS1047C, 1416982.00, 3A, GNR 2023-099
3618ATEV9, CS1048C, 2100752.00, 3A, GNR 2023-099
3618ATEW7, CS1049C, 1264407.00, 3A, GNR 2023-099
3618ATX63, CS1601C, 1045853.00, 3A, GNR 2023-099
3618AYYZ7, CS6128C, 1616981.00, 3A, GNR 2023-099
3618AYY20, CS6129C, 1076028.00, 3A, GNR 2023-099
3618AYY38, CS6130C, 1477964.00, 3A, GNR 2023-099
3618B6R51, CT1408C, 4021989.00, 3A, GNR 2023-099
3618B6TN0, CT1457C, 6915874.00, 3A, GNR 2023-099
3618B8CR5, CT2780C, 1420214.00, 3A, GNR 2023-099
3618BPWG9, CU6047C, 8181579.00, 3A, GNR 2023-099
3617FU5P6, CP5354C, 1464197.00, 3B, GNR 2023-099
3617FU5Q4, CP5355C, 5587840.00, 3B, GNR 2023-099
3618A3C48, CQ0991C, 1097556.00, 3B, GNR 2023-099
3618AP3M9, CR8904C, 2315137.00, 3B, GNR 2023-099
3618AS2Z5, CS0792C, 2984165.00, 3B, GNR 2023-099
3618ATL82, CS1251C, 1074608.00, 3B, GNR 2023-099
3618BHRJ7, CU0489C, 20707177.00, 3B, GNR 2023-099
3618BNSQ7, CU5027C, 2970767.00, 3B, GNR 2023-099
3618BPVV7, CU6028C, 6645627.00, 3B, GNR 2023-099
3618BSYK2, CU8814C, 5688680.00, 3B, GNR 2023-099
36179YAT1, MA9018M, 45000.00, T, GNR 2023-099
3618AUJS8, CS2073C, 1289022.00, 1, GNR 2023-100
3618B75G9, CT2647C, 8637503.00, 1, GNR 2023-100
3618BJN32, CU1310C, 5175594.00, 1, GNR 2023-100
3618BKUT4, CU2394C, 1752981.00, 1, GNR 2023-100
3618BKUX5, CU2398C, 1054437.00, 1, GNR 2023-100
3618BM2L8, CU4379C, 1217703.00, 1, GNR 2023-100
3618BM2M6, CU4380C, 1050617.00, 1, GNR 2023-100
3618BNM75, CU4882C, 1555645.00, 1, GNR 2023-100
3618BNM83, CU4883C, 1155345.00, 1, GNR 2023-100
3618BQF84, CU6491C, 4057279.00, 1, GNR 2023-100
3618BQJW7, CU6577C, 5895441.00, 1, GNR 2023-100
3618BQJX5, CU6578C, 4960691.00, 1, GNR 2023-100
3618BQJY3, CU6579C, 8123238.00, 1, GNR 2023-100
3618BQKE5, CU6593C, 5020115.00, 1, GNR 2023-100
3618BQKF2, CU6594C, 9774604.00, 1, GNR 2023-100
3618BQMD5, CU6656C, 3968508.00, 1, GNR 2023-100
3618BQME3, CU6657C, 6933527.00, 1, GNR 2023-100
3618BTRQ5, CU9495C, 1593659.00, 1, GNR 2023-100
3618BTRR3, CU9496C, 1159012.00, 1, GNR 2023-100
3618BWG31, CV1118C, 2006388.00, 1, GNR 2023-100
3618BXPJ4, CV2225C, 3572947.00, 1, GNR 2023-100
3618BYRM3, CV3192C, 1166820.00, 1, GNR 2023-100
3618BY5V7, CV3560C, 5393051.00, 1, GNR 2023-100
3618F0RD3, CV4084C, 1199786.00, 1, GNR 2023-100
3618F54B1, CV8918C, 1327397.00, 1, GNR 2023-100
3618F63B0, CV9794C, 5146204.00, 1, GNR 2023-100
3618F65E2, CV9845C, 4890033.00, 1, GNR 2023-100
3618F67B6, CV9890C, 5921972.00, 1, GNR 2023-100
3618F67D2, CV9892C, 4058127.00, 1, GNR 2023-100
3618F67M2, CV9900C, 6926192.00, 1, GNR 2023-100
3618F7AA2, CV9901C, 5123350.00, 1, GNR 2023-100
3618F7AB0, CV9902C, 9814239.00, 1, GNR 2023-100
3618F7AG9, CV9907C, 10078424.00, 1, GNR 2023-100
3618F3BX0, CV6354C, 3997951.00, 1, GNR 2023-100
