36179YKV5, MA9308M, 40066700.00, 1, GNR 2023-182
3618BHLV6, CU0340C, 4580400.00, 2, GNR 2023-182
3618BHL53, CU0348C, 4344939.00, 2, GNR 2023-182
3618BHL61, CU0349C, 5637434.00, 2, GNR 2023-182
3618BHLW4, CU0341C, 5830023.00, 2, GNR 2023-182
3618FSX29, CX6097C, 3219906.00, 2, GNR 2023-182
3618FSX37, CX6098C, 1423075.00, 2, GNR 2023-182
3618FTKK1, CX6598C, 5591360.00, 3A, GNR 2023-182
3618FYMY8, CY0375C, 3192306.00, 3A, GNR 2023-182
3618FYMZ5, CY0376C, 1428799.00, 3A, GNR 2023-182
3618FYM36, CY0378C, 1297707.00, 3A, GNR 2023-182
3618FYM44, CY0379C, 4556925.00, 3A, GNR 2023-182
3618FYM51, CY0380C, 2898204.00, 3A, GNR 2023-182
3618FYM69, CY0381C, 1956028.00, 3A, GNR 2023-182
3618G0FS2, CY1077C, 859249.00, 3A, GNR 2023-182
3618G0FX1, CY1082C, 27783192.00, 3A, GNR 2023-182
3618BCJG3, CT6563C, 5434564.00, 3A, GNR 2023-182
3618BHLV6, CU0340C, 3432054.00, 3A, GNR 2023-182
3618BHLW4, CU0341C, 11822147.00, 3A, GNR 2023-182
3618BHL53, CU0348C, 8810685.00, 3A, GNR 2023-182
3618BHL61, CU0349C, 11431610.00, 3A, GNR 2023-182
3618F3P80, CV6747C, 1131027.00, 3A, GNR 2023-182
3618FDUR0, CW5092C, 1154656.00, 3A, GNR 2023-182
3618FHTS1, CW8661C, 788379.00, 3A, GNR 2023-182
3618FHTT9, CW8662C, 1099795.00, 3A, GNR 2023-182
3618FHTU6, CW8663C, 2919314.00, 3A, GNR 2023-182
3618FLFK4, CX0170C, 1103333.00, 3A, GNR 2023-182
3618FLFL2, CX0171C, 899376.00, 3A, GNR 2023-182
3618FSX29, CX6097C, 6529336.00, 3A, GNR 2023-182
3618FSX37, CX6098C, 2885715.00, 3A, GNR 2023-182
3618G1FR2, CY1976C, 1011213.00, 3A, GNR 2023-182
3618G1FS0, CY1977C, 844155.00, 3A, GNR 2023-182
3618BCJD0, CT6560C, 2059233.00, 3A, GNR 2023-182
3618A5UE1, CQ3281C, 947168.00, 3B, GNR 2023-182
3618FAG84, CW2023C, 7692983.00, 3B, GNR 2023-182
3618FGAM6, CW7212C, 8450380.00, 3B, GNR 2023-182
3618FHGB2, CW8294C, 1237267.00, 3B, GNR 2023-182
3618FHXC1, CW8775C, 2398125.00, 3B, GNR 2023-182
3618FHXD9, CW8776C, 3685128.00, 3B, GNR 2023-182
3618FJHM3, CW9236C, 1120724.00, 3B, GNR 2023-182
3618FLST1, CX0530C, 9150272.00, 3B, GNR 2023-182
3618FQEN8, CX3741C, 1098196.00, 3B, GNR 2023-182
3618FQER9, CX3744C, 2591718.00, 3B, GNR 2023-182
3618FRAE0, CX4505C, 1731723.00, 3B, GNR 2023-182
3618FVNB3, CX8486C, 1086286.00, 3B, GNR 2023-182
3618FVYC9, CX8807C, 1092510.00, 3B, GNR 2023-182
3618FVZD6, CX8840C, 3110965.00, 3B, GNR 2023-182
3618FVZQ7, CX8851C, 2543409.00, 3B, GNR 2023-182
3618FV3H2, CX8900C, 6682350.00, 3B, GNR 2023-182
3618G0LP1, CY1234C, 1234380.00, 3B, GNR 2023-182
3618G6PH2, CY6724C, 1494502.00, 3B, GNR 2023-182
3618GD2E9, CZ2573C, 16203463.00, 3B, GNR 2023-182
3618G8JK8, CY8366C, 1751190.00, 3B, GNR 2023-182
3618G7ZL0, CY7947C, 5136339.00, 3B, GNR 2023-182
3618F8ZH8, CW0744C, 2820394.00, 3B, GNR 2023-182
3618G4PY0, CY4939C, 10146109.00, 3B, GNR 2023-182
3617XWMG3, CK2159C, 165269.00, 3B, GNR 2023-182
3618GD5F3, CZ2646C, 20590261.00, 3B, GNR 2023-182
3618FV7D7, CX8992C, 3603821.00, 3C, GNR 2023-182
3618GDZ86, CZ2567C, 2611213.00, 3C, GNR 2023-182
3618G8XS5, CY8789C, 2199348.00, 3C, GNR 2023-182
3618G2L85, CY3051C, 766098.00, 3C, GNR 2023-182
3618GC4Q2, CZ1731C, 734414.00, 3C, GNR 2023-182
3618G8UU3, CY8695C, 1636672.00, 3C, GNR 2023-182
3618GBG32, CZ0218C, 1019536.00, 3C, GNR 2023-182
3618GEWN4, CZ3353C, 1197524.00, 3C, GNR 2023-182
3618G8J44, CY8383C, 528974.00, 3C, GNR 2023-182
3618FYPX7, CY0438C, 662576.00, 3C, GNR 2023-182
3618FWBS7, CX9049C, 2620201.00, 3C, GNR 2023-182
3618G53M7, CY6204C, 630121.00, 3C, GNR 2023-182
3618F2LS2, CV5737C, 702097.00, 3C, GNR 2023-182
3618G7T78, CY7774C, 682158.00, 3C, GNR 2023-182
3618GD3Y4, CZ2615C, 2615165.00, 3C, GNR 2023-182
3618G8UK5, CY8686C, 1540688.00, 3C, GNR 2023-182
3618G8K59, CY8416C, 766048.00, 3C, GNR 2023-182
3618G4NS5, CY4901C, 726911.00, 3C, GNR 2023-182
3618GC4P4, CZ1730C, 652914.00, 3C, GNR 2023-182
3618GETN8, CZ3257C, 659939.00, 3C, GNR 2023-182
3618FTKR6, CX6604C, 919183.00, 3C, GNR 2023-182
3618G8UV1, CY8696C, 1543319.00, 3C, GNR 2023-182
3618FMMA6, CX1253C, 615256.00, 3C, GNR 2023-182
3618FV7E5, CX8993C, 3669501.00, 3C, GNR 2023-182
3618GC4R0, CZ1732C, 1157423.00, 3C, GNR 2023-182
3618FWBY4, CX9055C, 1586087.00, 3C, GNR 2023-182
3618G2LQ5, CY3035C, 612181.00, 3C, GNR 2023-182
3618GEWP9, CZ3354C, 1226897.00, 3C, GNR 2023-182
3618G8XT3, CY8790C, 2219900.00, 3C, GNR 2023-182
3618FY7L3, CY0899C, 1831286.00, 3C, GNR 2023-182
3618G4AP5, CY4514C, 535598.00, 3C, GNR 2023-182
3618FYPR0, CY0432C, 654780.00, 3C, GNR 2023-182
3618G3FJ6, CY3769C, 932297.00, 3C, GNR 2023-182
3618G8T68, CY8673C, 1511071.00, 3C, GNR 2023-182
3618G8UW9, CY8697C, 1512724.00, 3C, GNR 2023-182
3618F5GF9, CV8298C, 4183748.00, 3C, GNR 2023-182
3618G8UL3, CY8687C, 1572496.00, 3C, GNR 2023-182
3618FPTR5, CX3260C, 717589.00, 3C, GNR 2023-182
3618G53L9, CY6203C, 619931.00, 3C, GNR 2023-182
3618F5GE2, CV8297C, 3174733.00, 3C, GNR 2023-182
3618G2K37, CY3014C, 551897.00, 3C, GNR 2023-182
3618G4NU0, CY4903C, 527942.00, 3C, GNR 2023-182
3618B57L0, CT0899C, 836281.00, 3C, GNR 2023-182
3618FWUP2, CX9590C, 671536.00, 3C, GNR 2023-182
3618FPQ23, CX3173C, 524356.00, 3C, GNR 2023-182
3618G7T86, CY7775C, 771481.00, 3C, GNR 2023-182
3618G3FT4, CY3778C, 1354497.00, 3C, GNR 2023-182
3618G1G42, CY2019C, 740193.00, 3C, GNR 2023-182
3618FWNN5, CX9397C, 892994.00, 3C, GNR 2023-182
3618GBG40, CZ0219C, 597777.00, 3C, GNR 2023-182
3618FTKK1, CX6598C, 1233248.00, 4A, GNR 2023-182
3618FYMY8, CY0375C, 704105.00, 4A, GNR 2023-182
3618FYMZ5, CY0376C, 315140.00, 4A, GNR 2023-182
3618FYM36, CY0378C, 286227.00, 4A, GNR 2023-182
3618FYM44, CY0379C, 1005090.00, 4A, GNR 2023-182
3618FYM51, CY0380C, 639237.00, 4A, GNR 2023-182
3618FYM69, CY0381C, 431428.00, 4A, GNR 2023-182
3618G0FS2, CY1077C, 189519.00, 4A, GNR 2023-182
3618G0FX1, CY1082C, 6127954.00, 4A, GNR 2023-182
3618BCJG3, CT6563C, 1198665.00, 4A, GNR 2023-182
3618BHLV6, CU0340C, 756985.00, 4A, GNR 2023-182
3618BHLW4, CU0341C, 2607531.00, 4A, GNR 2023-182
3618BHL53, CU0348C, 1943313.00, 4A, GNR 2023-182
3618BHL61, CU0349C, 2521393.00, 4A, GNR 2023-182
3618F3P80, CV6747C, 249463.00, 4A, GNR 2023-182
3618FDUR0, CW5092C, 254675.00, 4A, GNR 2023-182
3618FHTS1, CW8661C, 173888.00, 4A, GNR 2023-182
3618FHTT9, CW8662C, 242574.00, 4A, GNR 2023-182
3618FHTU6, CW8663C, 643894.00, 4A, GNR 2023-182
3618FLFK4, CX0170C, 243355.00, 4A, GNR 2023-182
3618FLFL2, CX0171C, 198369.00, 4A, GNR 2023-182
3618FSX29, CX6097C, 1440131.00, 4A, GNR 2023-182
3618FSX37, CX6098C, 636483.00, 4A, GNR 2023-182
3618G1FR2, CY1976C, 223036.00, 4A, GNR 2023-182
3618G1FS0, CY1977C, 186189.00, 4A, GNR 2023-182
3618BCJD0, CT6560C, 454191.00, 4A, GNR 2023-182
3618A5UE1, CQ3281C, 208618.00, 4B, GNR 2023-182
3618FAG84, CW2023C, 1694417.00, 4B, GNR 2023-182
3618FGAM6, CW7212C, 1861237.00, 4B, GNR 2023-182
3618FHGB2, CW8294C, 272514.00, 4B, GNR 2023-182
3618FHXC1, CW8775C, 528198.00, 4B, GNR 2023-182
3618FHXD9, CW8776C, 811667.00, 4B, GNR 2023-182
3618FJHM3, CW9236C, 246845.00, 4B, GNR 2023-182
3618FLST1, CX0530C, 2015391.00, 4B, GNR 2023-182
3618FQEN8, CX3741C, 241883.00, 4B, GNR 2023-182
3618FQER9, CX3744C, 570839.00, 4B, GNR 2023-182
3618FRAE0, CX4505C, 381420.00, 4B, GNR 2023-182
3618FVNB3, CX8486C, 239260.00, 4B, GNR 2023-182
3618FVYC9, CX8807C, 240630.00, 4B, GNR 2023-182
3618FVZD6, CX8840C, 685205.00, 4B, GNR 2023-182
3618FVZQ7, CX8851C, 560198.00, 4B, GNR 2023-182
3618FV3H2, CX8900C, 1471820.00, 4B, GNR 2023-182
3618G0LP1, CY1234C, 271878.00, 4B, GNR 2023-182
3618G6PH2, CY6724C, 329171.00, 4B, GNR 2023-182
3618GD2E9, CZ2573C, 3568891.00, 4B, GNR 2023-182
3618G8JK8, CY8366C, 385708.00, 4B, GNR 2023-182
3618G7ZL0, CY7947C, 1131304.00, 4B, GNR 2023-182
3618F8ZH8, CW0744C, 621205.00, 4B, GNR 2023-182
3618G4PY0, CY4939C, 2234730.00, 4B, GNR 2023-182
3617XWMG3, CK2159C, 36401.00, 4B, GNR 2023-182
3618GD5F3, CZ2646C, 4535106.00, 4B, GNR 2023-182
3618BKM97, CU2184C, 17167831.00, 5, GNR 2023-182
3618FHFY3, CW8283C, 15102416.00, 5, GNR 2023-182
3618FHGM8, CW8304C, 12041361.00, 5, GNR 2023-182
3618FNZ51, CX2564C, 10648026.00, 5, GNR 2023-182
3618G1HB5, CY2026C, 9959775.00, 5, GNR 2023-182
3618BRR30, CU7706C, 9049027.00, 5, GNR 2023-182
3618FV7J4, CX8997C, 8422772.00, 5, GNR 2023-182
3618FV6L0, CX8975C, 7758458.00, 5, GNR 2023-182
3618FWAE9, CX9005C, 7475068.00, 5, GNR 2023-182
3618FDV65, CW5137C, 6449663.00, 5, GNR 2023-182
3618FQ7L0, CX4499C, 4717944.00, 5, GNR 2023-182
3618BBKZ1, CT5712C, 2858487.00, 5, GNR 2023-182
3618BWNB5, CV1286C, 2714547.00, 5, GNR 2023-182
3618FWAH2, CX9008C, 2066746.00, 5, GNR 2023-182
3618F9T67, CW1473C, 1904854.00, 5, GNR 2023-182
3618BBLA5, CT5721C, 1741688.00, 5, GNR 2023-182
3618G56J1, CY6273C, 1601230.00, 5, GNR 2023-182
3618FMZM6, CX1648C, 1142375.00, 5, GNR 2023-182
3618F3P98, CV6748C, 1027347.00, 5, GNR 2023-182
