36179X5L6, MA8951M, 42422296.00, 1, GNR 2024-057
3618FJC97, CW9096C, 2090299.00, 2, GNR 2024-057
3618FW6U8, CX9883C, 1839384.00, 2, GNR 2024-057
3618FW6V6, CX9884C, 6060992.00, 2, GNR 2024-057
3618FYRJ6, CY0489C, 2142755.00, 2, GNR 2024-057
3618GB6T6, CZ0882C, 2628668.00, 2, GNR 2024-057
3618GB6U3, CZ0883C, 1046006.00, 2, GNR 2024-057
3618GDWT3, CZ2458C, 1053744.00, 2, GNR 2024-057
3618GDY95, CZ2536C, 1098165.00, 2, GNR 2024-057
3618GDZA1, CZ2537C, 1060190.00, 2, GNR 2024-057
3618GHPV7, CZ5836C, 1138526.00, 2, GNR 2024-057
3618GJUE5, CZ6881C, 6386873.00, 2, GNR 2024-057
3618GLLV2, CZ8440C, 1185467.00, 2, GNR 2024-057
3618GLNS7, CZ8501C, 1048434.00, 2, GNR 2024-057
3618GLNT5, CZ8502C, 1425361.00, 2, GNR 2024-057
3618GLNU2, CZ8503C, 2260488.00, 2, GNR 2024-057
3618GPQ63, DA0477C, 1000000.00, 2, GNR 2024-057
3618GPRS4, DA0497C, 1292257.00, 2, GNR 2024-057
3618GPRT2, DA0498C, 2719345.00, 2, GNR 2024-057
3618GPRV7, DA0500C, 4205182.00, 2, GNR 2024-057
3618GPRW5, DA0501C, 1731152.00, 2, GNR 2024-057
3618GRTC3, DA2347C, 1418739.00, 2, GNR 2024-057
3618GS6P7, DA3578C, 1000000.00, 2, GNR 2024-057
3618GS6T9, DA3582C, 1000000.00, 2, GNR 2024-057
3618GS6V4, DA3584C, 1000000.00, 2, GNR 2024-057
3618GTMC6, DA3955C, 1091777.00, 2, GNR 2024-057
3618GTN50, DA4012C, 1170720.00, 2, GNR 2024-057
3618GTPY5, DA4039C, 1403165.00, 2, GNR 2024-057
3618GWDA3, DA6397C, 2400659.00, 2, GNR 2024-057
3618GXPU4, DA7635C, 6351426.00, 2, GNR 2024-057
3618GXPV2, DA7636C, 5300000.00, 2, GNR 2024-057
3618H3DR9, DB1012C, 2594287.00, 2, GNR 2024-057
3618H3DU2, DB1015C, 2643321.00, 2, GNR 2024-057
3618H3DX6, DB1018C, 2584494.00, 2, GNR 2024-057
3618H4DF3, DB1902C, 1726365.00, 2, GNR 2024-057
3618G3DC3, CY3699C, 1003.00, 3, GNR 2024-057
3618GH2K6, CZ6178C, 2155197.00, 3, GNR 2024-057
3618GHYV7, CZ6124C, 242221.00, 3, GNR 2024-057
3618GM5Y2, CZ9863C, 1812530.00, 3, GNR 2024-057
3618GVH45, DA5651C, 6229193.00, 3, GNR 2024-057
3618GWAY4, DA6323C, 2067949.00, 3, GNR 2024-057
3618H3DZ1, DB1020C, 2986754.00, 3, GNR 2024-057
3618H4A74, DB1830C, 5000000.00, 3, GNR 2024-057
3618H6AU8, DB3619C, 8156314.00, 3, GNR 2024-057
3618H7TZ5, DB5068C, 8862042.00, 3, GNR 2024-057
36179YHT4, MA9242M, 50000000.00, 4, GNR 2024-057
36179YHT4, MA9242M, 50000000.00, 4, GNR 2024-057
36179YHT4, MA9242M, 37096106.00, 4, GNR 2024-057
36179YDL5, MA9107M, 32750603.00, 5, GNR 2024-057
36179YHT4, MA9242M, 50000000.00, 5, GNR 2024-057
36179YHT4, MA9242M, 15735955.00, 5, GNR 2024-057
36179YKT0, MA9306M, 26880907.00, 5, GNR 2024-057
36179X2N5, MA8881M, 50000000.00, 6A, GNR 2024-057
36179X2N5, MA8881M, 29875046.00, 6A, GNR 2024-057
36179XNJ1, MA8493M, 50000000.00, 6A, GNR 2024-057
36179XNJ1, MA8493M, 42106867.00, 6A, GNR 2024-057
36179XTF3, MA8650M, 3947316.00, 6A, GNR 2024-057
36179XX84, MA8803M, 34292688.00, 6A, GNR 2024-057
36179XLL8, MA8431M, 36267365.00, 6B, GNR 2024-057
36179XVV5, MA8728M, 50000000.00, 6B, GNR 2024-057
36179XVV5, MA8728M, 9813656.00, 6B, GNR 2024-057
36179X5K8, MA8950M, 50000000.00, 7, GNR 2024-057
36179X5K8, MA8950M, 50000000.00, 7, GNR 2024-057
36179X5K8, MA8950M, 50000000.00, 7, GNR 2024-057
36179X5K8, MA8950M, 1259242.00, 7, GNR 2024-057
36179YHT4, MA9242M, 16003885.00, 8, GNR 2024-057
36179YKT0, MA9306M, 48840700.00, 8, GNR 2024-057
36179YKT0, MA9306M, 50000000.00, 9, GNR 2024-057
36179YKT0, MA9306M, 50000000.00, 9, GNR 2024-057
36179YKT0, MA9306M, 1159300.00, 9, GNR 2024-057
38384KAF8, GN-2024-019-FD, 32781447.00, 10, GNR 2024-057
38384KR86, GN-2024-044-Z, 7887187.00, 11, GNR 2024-057
38384MBA4, GN-2024-046-HZ, 4655307.00, 11, GNR 2024-057
3617FT4R6, CP4432C, 959958.00, 12, GNR 2024-057
3618A6FH9, CQ3768C, 960081.00, 12, GNR 2024-057
3618AAWV0, CQ7860C, 1777517.00, 12, GNR 2024-057
3618ABG87, CQ8323C, 1529481.00, 12, GNR 2024-057
