3618GXTH9, DA7752C, 1095992.00, 1A, GNR 2024-076
3618GXTK2, DA7754C, 3920823.00, 1B, GNR 2024-076
3618GMRW2, CZ9501C, 1054188.00, 1B, GNR 2024-076
3618GLRH7, CZ8588C, 6025713.00, 1C, GNR 2024-076
3618GX6K7, DA8074C, 2782158.00, 1C, GNR 2024-076
3618GJRC3, CZ6783C, 2052548.00, 1C, GNR 2024-076
3618GMRX0, CZ9502C, 1820748.00, 1C, GNR 2024-076
3618GUGG1, DA4699C, 940106.00, 1C, GNR 2024-076
3618GVJK7, DA5666C, 830431.00, 1C, GNR 2024-076
3618GXTN6, DA7757C, 6739072.00, 1D, GNR 2024-076
3618GLQX3, CZ8570C, 4256114.00, 1D, GNR 2024-076
3618GMRY8, CZ9503C, 2237276.00, 1D, GNR 2024-076
3618GX6L5, DA8075C, 1979917.00, 1D, GNR 2024-076
3618FYRK3, CY0490C, 1245313.00, 1D, GNR 2024-076
3618GVJJ0, DA5665C, 874885.00, 1D, GNR 2024-076
3618GXTP1, DA7758C, 5384051.00, 1E, GNR 2024-076
3618GLQY1, CZ8571C, 4131201.00, 1E, GNR 2024-076
3618GMRZ5, CZ9504C, 2535247.00, 1E, GNR 2024-076
3618GUGC0, DA4695C, 1593830.00, 1E, GNR 2024-076
3618FYRT4, CY0498C, 1136523.00, 1E, GNR 2024-076
3618GXTQ9, DA7759C, 11526559.00, 1F, GNR 2024-076
3618GMR28, CZ9505C, 1426867.00, 1F, GNR 2024-076
3618FYB38, CY0058C, 910071.00, 1F, GNR 2024-076
3618GXTR7, DA7760C, 12514463.00, 1G, GNR 2024-076
3618GYAQ7, DA8115C, 1199638.00, 1G, GNR 2024-076
3618GXTS5, DA7761C, 8835866.00, 1H, GNR 2024-076
3618GMR36, CZ9506C, 1292748.00, 1H, GNR 2024-076
36179YS88, MA9543M, 152595600.00, 2, GNR 2024-076
3618G9RC5, CY9483C, 1343312.00, 3A, GNR 2024-076
3618GGY80, CZ5235C, 1005776.00, 3A, GNR 2024-076
3618GXNX0, DA7606C, 2289552.00, 3A, GNR 2024-076
3618GXKX3, DA7510C, 1545567.00, 3B, GNR 2024-076
3618F0JT7, CV3874C, 1071728.00, 3C, GNR 2024-076
3618G9RD3, CY9484C, 3715876.00, 3C, GNR 2024-076
3618GGZ30, CZ5262C, 1047065.00, 3C, GNR 2024-076
3618GXKM7, DA7500C, 2349675.00, 3C, GNR 2024-076
3618FYB46, CY0059C, 1029089.00, 3D, GNR 2024-076
3618G0V88, CY1539C, 1069082.00, 3D, GNR 2024-076
3618GMR44, CZ9507C, 2408992.00, 3D, GNR 2024-076
3618GXNW2, DA7605C, 2754078.00, 3D, GNR 2024-076
3618FCP49, CW4043C, 1620976.00, 3E, GNR 2024-076
3618GGZZ9, CZ5260C, 1118160.00, 3E, GNR 2024-076
3618GXKJ4, DA7497C, 2384603.00, 3E, GNR 2024-076
3618FYRW7, CY0501C, 1484905.00, 3F, GNR 2024-076
3618GGZY2, CZ5259C, 1941380.00, 3F, GNR 2024-076
3618GLQ70, CZ8578C, 3387805.00, 3F, GNR 2024-076
3618GXKW5, DA7509C, 1710537.00, 3F, GNR 2024-076
3618FCP56, CW4044C, 1584056.00, 3G, GNR 2024-076
3618GGY31, CZ5230C, 2386517.00, 3G, GNR 2024-076
3618GLSH6, CZ8620C, 1410446.00, 3G, GNR 2024-076
3618GGY23, CZ5229C, 2877229.00, 3H, GNR 2024-076
3618GXNY8, DA7607C, 1571594.00, 3H, GNR 2024-076
3618GXNZ5, DA7608C, 2609106.00, 3I, GNR 2024-076
36179YU51, MA9604M, 50080.00, T, GNR 2024-076
36179YKU7, MA9307M, 50934713.00, 1, GNR 2024-077
3622AC2L3, 787179C, 5668025.00, 2, GNR 2024-077
3622AC2M1, 787180C, 8268769.00, 2, GNR 2024-077
3618F97B0, CW1790C, 260428.00, 2, GNR 2024-077
3618F97C8, CW1791C, 768506.00, 2, GNR 2024-077
3618F97J3, CW1797C, 292996.00, 2, GNR 2024-077
3618F97K0, CW1798C, 317019.00, 2, GNR 2024-077
3618FAAH0, CW1808C, 445289.00, 2, GNR 2024-077
3618FAAJ6, CW1809C, 316625.00, 2, GNR 2024-077
3618FEGP8, CW5606C, 261028.00, 2, GNR 2024-077
3618FEWW5, CW6061C, 462809.00, 2, GNR 2024-077
3618FHE73, CW8258C, 288726.00, 2, GNR 2024-077
3618FPB86, CX2763C, 258115.00, 2, GNR 2024-077
3618FPB94, CX2764C, 454324.00, 2, GNR 2024-077
3618FXA80, CX9931C, 505372.00, 2, GNR 2024-077
3618G23R3, CY3508C, 811781.00, 2, GNR 2024-077
3618G23S1, CY3509C, 572845.00, 2, GNR 2024-077
3618G3GF3, CY3798C, 437028.00, 2, GNR 2024-077
3618G3GX4, CY3814C, 288023.00, 2, GNR 2024-077
3618G3GY2, CY3815C, 390918.00, 2, GNR 2024-077
3618G4EX4, CY4650C, 259419.00, 2, GNR 2024-077
3618G5L54, CY5748C, 306763.00, 2, GNR 2024-077
3618G54R5, CY6232C, 280032.00, 2, GNR 2024-077
3618G6PU3, CY6735C, 604523.00, 2, GNR 2024-077
3618G6PX7, CY6738C, 437916.00, 2, GNR 2024-077
3618G7LH4, CY7528C, 275762.00, 2, GNR 2024-077
3618G7M83, CY7583C, 389703.00, 2, GNR 2024-077
3618G8E49, CY8255C, 279369.00, 2, GNR 2024-077
3618G9QD4, CY9452C, 1356627.00, 2, GNR 2024-077
3618GBJJ4, CZ0265C, 301856.00, 2, GNR 2024-077
3618GBK52, CZ0316C, 392106.00, 2, GNR 2024-077
3618GBYB4, CZ0706C, 864793.00, 2, GNR 2024-077
3618GBYC2, CZ0707C, 510418.00, 2, GNR 2024-077
3618GC6C1, CZ1767C, 297081.00, 2, GNR 2024-077
3618GC6R8, CZ1780C, 481722.00, 2, GNR 2024-077
3618GC6S6, CZ1781C, 338317.00, 2, GNR 2024-077
3618GEUX4, CZ3298C, 3281662.00, 2, GNR 2024-077
3618GEZC5, CZ3439C, 499538.00, 2, GNR 2024-077
3618GEZD3, CZ3440C, 244844.00, 2, GNR 2024-077
3618GEZE1, CZ3441C, 288861.00, 2, GNR 2024-077
3618GEZF8, CZ3442C, 667177.00, 2, GNR 2024-077
3618GEZG6, CZ3443C, 284986.00, 2, GNR 2024-077
3618GHM40, CZ5779C, 267385.00, 2, GNR 2024-077
3618GHQ61, CZ5877C, 393887.00, 2, GNR 2024-077
3618GHVF5, CZ6014C, 917785.00, 2, GNR 2024-077
3618GHXH9, CZ6080C, 1346598.00, 2, GNR 2024-077
3618GJLG0, CZ6627C, 2954760.00, 2, GNR 2024-077
3618GKCW2, CZ7285C, 247747.00, 2, GNR 2024-077
3618GKE67, CZ7357C, 377109.00, 2, GNR 2024-077
3618GKKX1, CZ7510C, 274456.00, 2, GNR 2024-077
3618GKLX0, CZ7542C, 258213.00, 2, GNR 2024-077
3618GKNA8, CZ7585C, 256058.00, 2, GNR 2024-077
3618GKU28, CZ7801C, 278712.00, 2, GNR 2024-077
3618GMBG4, CZ9039C, 428500.00, 2, GNR 2024-077
3618GMBH2, CZ9040C, 454907.00, 2, GNR 2024-077
3618GMBJ8, CZ9041C, 247253.00, 2, GNR 2024-077
3618GPYX5, DA0726C, 791180.00, 2, GNR 2024-077
3618GVFQ8, DA5575C, 454526.00, 2, GNR 2024-077
3618GVLX6, DA5742C, 411448.00, 2, GNR 2024-077
3618GVZY9, DA6159C, 529320.00, 2, GNR 2024-077
3618GWGG7, DA6499C, 404914.00, 2, GNR 2024-077
3618H6JJ4, DB3865C, 782785.00, 2, GNR 2024-077
3618H7GZ9, DB4716C, 495302.00, 2, GNR 2024-077
3618H7L91, DB4852C, 396881.00, 2, GNR 2024-077
3622ACRG7, 786887C, 20649193.00, 3, GNR 2024-077
3618G7GD9, CY7396C, 593862.00, 3, GNR 2024-077
3618GCN24, CZ1309C, 5774586.00, 3, GNR 2024-077
3618GHKW0, CZ5709C, 534741.00, 3, GNR 2024-077
3618GKMP6, CZ7566C, 721130.00, 3, GNR 2024-077
3618GKUZ5, CZ7800C, 865803.00, 3, GNR 2024-077
3618GRCF4, DA1870C, 3009992.00, 3, GNR 2024-077
3618GVSN1, DA5925C, 6497386.00, 3, GNR 2024-077
3618GYLA0, DA8421C, 5831942.00, 3, GNR 2024-077
3618H3AP6, DB0914C, 2482489.00, 3, GNR 2024-077
3618H3H46, DB1151C, 1031333.00, 3, GNR 2024-077
3618H7UX8, DB5098C, 3985703.00, 3, GNR 2024-077
3622AC7E4, 787293C, 50459425.00, 4, GNR 2024-077
3622ADAW8, 787321C, 68567730.00, 4, GNR 2024-077
3617FTU55, CP4204C, 3855063.00, 4, GNR 2024-077
3618GKKD5, CZ7492C, 1117993.00, 4, GNR 2024-077
3618GMBL3, CZ9043C, 2067453.00, 4, GNR 2024-077
3618GMX62, CZ9701C, 1114441.00, 4, GNR 2024-077
3618GM3S7, CZ9809C, 2763300.00, 4, GNR 2024-077
3618GQSF9, DA1418C, 5348847.00, 4, GNR 2024-077
3618GSCA3, DA2765C, 3062324.00, 4, GNR 2024-077
3618GTRZ0, DA4104C, 2806464.00, 4, GNR 2024-077
3618GTR72, DA4110C, 1200109.00, 4, GNR 2024-077
3618GWM62, DA6681C, 1392155.00, 4, GNR 2024-077
3618H3VM0, DB1520C, 15893352.00, 4, GNR 2024-077
3618H3VN8, DB1521C, 4487778.00, 4, GNR 2024-077
3618H3VX6, DB1530C, 17015918.00, 4, GNR 2024-077
3618H3WE7, DB1545C, 19525539.00, 4, GNR 2024-077
3618BWKH5, CV1196C, 1178998.00, 5, GNR 2024-077
3618FHNM0, CW8496C, 6149737.00, 5, GNR 2024-077
3618FQZK1, CX4346C, 3933863.00, 5, GNR 2024-077
3618G0QT8, CY1366C, 2775116.00, 5, GNR 2024-077
3618GRK99, DA2120C, 2322464.00, 5, GNR 2024-077
3618GVGF1, DA5598C, 1096452.00, 5, GNR 2024-077
3618GXUB0, DA7778C, 1007253.00, 5, GNR 2024-077
3618H4M55, DB2180C, 13688399.00, 5, GNR 2024-077
3618H4M71, DB2182C, 24863694.00, 5, GNR 2024-077
3618H7GD8, DB4696C, 1288000.00, 5, GNR 2024-077
3618HEMZ7, DC0376C, 1099667.00, 5, GNR 2024-077
36179YKW3, MA9309M, 1000000.00, 5, GNR 2024-077
3618BTA91, CU9032C, 1386276.00, 6, GNR 2024-077
3618FRXA3, CX5173C, 974393.00, 6, GNR 2024-077
