36179YFN9, MA9173M, 55376496.00, 1, GNR 2024-094
3618FFBD7, CW6336C, 1097488.00, 2A, GNR 2024-094
3618FFFV3, CW6480C, 1857006.00, 2A, GNR 2024-094
3618FFFY7, CW6483C, 1340161.00, 2B, GNR 2024-094
3618GHH46, CZ5651C, 1260509.00, 2B, GNR 2024-094
3618GHYX3, CZ6126C, 1422707.00, 2B, GNR 2024-094
3618GLNA6, CZ8485C, 1768603.00, 2B, GNR 2024-094
3618GLPC0, CZ8519C, 1042773.00, 2B, GNR 2024-094
3618FGP65, CW7645C, 2065678.00, 2C, GNR 2024-094
3618FTQ58, CX6776C, 2052234.00, 2C, GNR 2024-094
3618G3Z21, CY4361C, 2642342.00, 2C, GNR 2024-094
3618G3Z39, CY4362C, 2470603.00, 2C, GNR 2024-094
3618GHYY1, CZ6127C, 1933797.00, 2C, GNR 2024-094
3618GHYZ8, CZ6128C, 1167770.00, 2C, GNR 2024-094
3618GJB97, CZ6364C, 2038434.00, 2C, GNR 2024-094
3618GKNE0, CZ7589C, 1225683.00, 2C, GNR 2024-094
3618GLNX6, CZ8506C, 1490380.00, 2C, GNR 2024-094
3618GLPD8, CZ8520C, 1030487.00, 2C, GNR 2024-094
3618H2NR0, DB0400C, 1970864.00, 2C, GNR 2024-094
3618G2S96, CY3244C, 1187863.00, 2D, GNR 2024-094
3618GBKK9, CZ0298C, 2893369.00, 2D, GNR 2024-094
3618GLNC2, CZ8487C, 1795056.00, 2D, GNR 2024-094
3618GLPE6, CZ8521C, 1172939.00, 2D, GNR 2024-094
3618GMST8, CZ9530C, 1074027.00, 2D, GNR 2024-094
3618GQS51, DA1440C, 2027327.00, 2D, GNR 2024-094
3618GX6M3, DA8076C, 2163726.00, 2D, GNR 2024-094
3618GX6N1, DA8077C, 2368177.00, 2D, GNR 2024-094
3618GYBV5, DA8152C, 2376219.00, 2D, GNR 2024-094
3618FNS59, CX2340C, 4065077.00, 2E, GNR 2024-094
3618GPRF2, DA0486C, 1828535.00, 2E, GNR 2024-094
3618GQRW3, DA1401C, 1536018.00, 2E, GNR 2024-094
3618FGP73, CW7646C, 2768425.00, 2F, GNR 2024-094
