3618HSSR8, DD0528C, 1563440.00, 1A, GNR 2024-142
3618HSSS6, DD0529C, 3060270.00, 1A, GNR 2024-142
3618HSST4, DD0530C, 3236300.00, 1A, GNR 2024-142
3618J7BZ2, DE1856C, 1551705.00, 1A, GNR 2024-142
3618J7WU0, DE2459C, 29418257.00, 1A, GNR 2024-142
3618JBJ36, DE5682C, 17605301.00, 1A, GNR 2024-142
3618JBZ46, DE6163C, 3130390.00, 1A, GNR 2024-142
3618JBZ53, DE6164C, 3335200.00, 1A, GNR 2024-142
3618JBZ61, DE6165C, 2153305.00, 1A, GNR 2024-142
3618JC5M7, DE7152C, 15000000.00, 1A, GNR 2024-142
3618J0UU7, DD6895C, 11000000.00, 1B, GNR 2024-142
3618J2RX1, DD8602C, 55599041.00, 1B, GNR 2024-142
3618J2S93, DD8644C, 26626287.00, 1B, GNR 2024-142
3618J7B66, DE1861C, 2628254.00, 1B, GNR 2024-142
3618J9XL5, DE4283C, 7359387.00, 1B, GNR 2024-142
3618JACA9, DE4565C, 3769348.00, 1B, GNR 2024-142
3618JAGM9, DE4704C, 10601620.00, 1B, GNR 2024-142
3618JBJ36, DE5682C, 7488536.00, 1B, GNR 2024-142
3618JC5M7, DE7152C, 5025226.00, 1B, GNR 2024-142
3618JFNE8, DE9389C, 9973192.00, 1B, GNR 2024-142
36179YHU1, MA9243M, 291276016.00, 2, GNR 2024-142
3618H72R2, DB5284C, 1913629.00, 3A, GNR 2024-142
3618J5QE7, DE0453C, 1438491.00, 3A, GNR 2024-142
3618JACY7, DE4587C, 1568009.00, 3A, GNR 2024-142
3618JAKC6, DE4791C, 1480289.00, 3A, GNR 2024-142
3618JBZV6, DE6156C, 1383538.00, 3A, GNR 2024-142
3618HSYM2, DD0716C, 6918103.00, 3B, GNR 2024-142
3618J8VQ8, DE3323C, 3417939.00, 3B, GNR 2024-142
3618JAKD4, DE4792C, 1844705.00, 3B, GNR 2024-142
3618JBZW4, DE6157C, 1796356.00, 3B, GNR 2024-142
3618HSYN0, DD0717C, 1154711.00, 3C, GNR 2024-142
3618J2U41, DD8703C, 16332092.00, 3C, GNR 2024-142
3618J7CS7, DE1881C, 1476560.00, 3C, GNR 2024-142
3618JBZX2, DE6158C, 1181002.00, 3C, GNR 2024-142
3618HLPM7, DC5828C, 1765816.00, 3D, GNR 2024-142
3618HPGB2, DC8294C, 1037821.00, 3D, GNR 2024-142
3618J1MQ3, DD7567C, 1125907.00, 3D, GNR 2024-142
3618J2U58, DD8704C, 1879645.00, 3D, GNR 2024-142
3618J7BK5, DE1842C, 1132468.00, 3D, GNR 2024-142
3618J7CT5, DE1882C, 2329388.00, 3D, GNR 2024-142
3618JAKE2, DE4793C, 684030.00, 3D, GNR 2024-142
3618JBG70, DE5622C, 7606480.00, 3D, GNR 2024-142
3618JJ2C7, DF1671C, 1613023.00, 3D, GNR 2024-142
3618HVGH6, DD2900C, 1244263.00, 3E, GNR 2024-142
3618J2U74, DD8706C, 14606413.00, 3E, GNR 2024-142
3618J8VR6, DE3324C, 3775518.00, 3E, GNR 2024-142
3618J9A71, DE3630C, 1182927.00, 3E, GNR 2024-142
3618JEZS7, DE8853C, 1233528.00, 3E, GNR 2024-142
3618HANR2, DB7600C, 4216813.00, 3F, GNR 2024-142
3618HAPQ2, DB7631C, 1351591.00, 3F, GNR 2024-142
3618HEV38, DC0634C, 2372505.00, 3F, GNR 2024-142
3618HKUQ4, DC5091C, 4441810.00, 3F, GNR 2024-142
3618HL4T5, DC6234C, 7413158.00, 3F, GNR 2024-142
3618HSU46, DD0603C, 720238.00, 3F, GNR 2024-142
3618HSUF1, DD0582C, 8303483.00, 3F, GNR 2024-142
3618HSXX9, DD0694C, 10573030.00, 3F, GNR 2024-142
3618J0NJ0, DD6693C, 1423053.00, 3F, GNR 2024-142
3618J0UK9, DD6886C, 3713406.00, 3F, GNR 2024-142
3618J12D4, DD7972C, 1031489.00, 3F, GNR 2024-142
3618J1MR1, DD7568C, 1264162.00, 3F, GNR 2024-142
3618J6G97, DE1124C, 1982697.00, 3F, GNR 2024-142
3618J6ME9, DE1257C, 1468774.00, 3F, GNR 2024-142
3618J7CU2, DE1883C, 3797965.00, 3F, GNR 2024-142
3618JBG88, DE5623C, 5726820.00, 3F, GNR 2024-142
3618JBZ20, DE6161C, 3415516.00, 3F, GNR 2024-142
3618HAMW2, DB7573C, 4437945.00, 3G, GNR 2024-142
3618HAPP4, DB7630C, 1641197.00, 3G, GNR 2024-142
3618HKL68, DC4849C, 3200438.00, 3G, GNR 2024-142
3618HSSQ0, DD0527C, 2812906.00, 3G, GNR 2024-142
3618HSU53, DD0604C, 780874.00, 3G, GNR 2024-142
3618HSW85, DD0671C, 10665266.00, 3G, GNR 2024-142
3618J7CV0, DE1884C, 1724327.00, 3G, GNR 2024-142
3618J7WT3, DE2458C, 11608244.00, 3G, GNR 2024-142
3618JBG96, DE5624C, 5785260.00, 3G, GNR 2024-142
3618JBZ38, DE6162C, 3182925.00, 3G, GNR 2024-142
3618JCHF9, DE6530C, 6622326.00, 3G, GNR 2024-142
3618JJ2E3, DF1673C, 1357713.00, 3G, GNR 2024-142
36179YHU1, MA9243M, 309868101.00, 4, GNR 2024-142
3618HQ5G1, DC9847C, 2180031.00, 5, GNR 2024-142
3618HQ5H9, DC9848C, 1716062.00, 5, GNR 2024-142
3618HQ5J5, DC9849C, 4655924.00, 5, GNR 2024-142
