"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'3140XMNV4'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"61490669536.35",,,,,,"Y"
"2024-05-01","'3140XMNU6'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"54891985160.07",,,,,,"Y"
"2024-05-01","'3140XMU61'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"52458255476.93",,,,,,"Y"
"2024-05-01","'3140XMNR3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"46829489093.67",,,,,,"Y"
"2024-05-01","'3140XNJJ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"41380011467.62",,,,,,"Y"
"2024-05-01","'3140XMU87'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"39150497883.87",,,,,,"Y"
"2024-05-01","'3140XMNY8'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"34069280743.35",,,,,,"Y"
"2024-05-01","'3140XMNW2'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"33256210235.11",,,,,,"Y"
"2024-05-01","'3132E0JR4'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"32844063443.86",,,,,,"Y"
"2024-05-01","'3140XMNZ5'","MBS","UMBS MORTPASS 2.5% 04/52","30yr",,,,,"30906581208.57",,,,,,"Y"
"2024-05-01","'3132DSET5'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"30292221196.27",,,,,,"Y"
"2024-05-01","'3132DSYZ9'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"30096413530.82",,,,,,"Y"
"2024-05-01","'3140XNRY2'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29938954356.54",,,,,,"Y"
"2024-05-01","'3132E0JS2'","MBS","UMBS MORTPASS 2.5% 05/52","30yr",,,,,"28942228234.46",,,,,,"Y"
"2024-05-01","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"27635224009.83",,,,,,""
"2024-05-01","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"25796167305.72",,,,,,""
"2024-05-01","'3132DSMM1'","MBS","UMBS MORTPASS 2.5% 01/51","30yr",,,,,"25241475347.79",,,,,,"Y"
"2024-05-01","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"23719799112.34",,,,,,""
"2024-05-01","'3132DWCH4'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"23569423786.71",,,,,,""
"2024-05-01","'3140XM6T8'","MBS","UMBS MORTPASS 3.5% 10/45","30yr",,,,,"22987341113.71",,,,,,"Y"
"2024-05-01","'3132DSTM4'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"22966620717.97",,,,,,"Y"
"2024-05-01","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"22658135156.30",,,,,,""
"2024-05-01","'3132DSES7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"22568852494.95",,,,,,"Y"
"2024-05-01","'3140XMNS1'","MBS","UMBS MORTPASS 2.5% 11/51","30yr",,,,,"22306827159.74",,,,,,"Y"
"2024-05-01","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"20406501085.19",,,,,,""
"2024-05-01","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"20267630050.05",,,,,,""
"2024-05-01","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"20125125814.90",,,,,,""
"2024-05-01","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"17775754170.46",,,,,,"Y"
"2024-05-01","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"17290857853.51",,,,,,""
"2024-05-01","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"17001296588.69",,,,,,""
"2024-05-01","'3140XN6Z2'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"16862265387.84",,,,,,"Y"
"2024-05-01","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"16318289140.76",,,,,,""
"2024-05-01","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"16196270006.40",,,,,,""
"2024-05-01","'31418DZW5'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"15940570004.54",,,,,,""
"2024-05-01","'3132DWCC5'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"15512922191.75",,,,,,""
"2024-05-01","'3132DWCN1'","MBS","UMBS MORTPASS 2% 11/51","30yr",,,,,"15147194912.23",,,,,,""
"2024-05-01","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"14986446817.86",,,,,,""
"2024-05-01","'36179WG36'","MBS","GNMA II 2.5% 06/51","30yr",,,,,"13950012939.37",,,,,,""
"2024-05-01","'31418D2M3'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"13760506492.52",,,,,,""
"2024-05-01","'3132DWCT8'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"13615608723.66",,,,,,""
"2024-05-01","'3140XNJK1'","MBS","UMBS MORTPASS 3.5% 08/52","30yr",,,,,"13327518831.79",,,,,,"Y"
"2024-05-01","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"13108094915.22",,,,,,""
"2024-05-01","'36179WFG8'","MBS","GNMA II 2.5% 05/51","30yr",,,,,"13021811091.81",,,,,,""
"2024-05-01","'3140XMU79'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"12643621055.30",,,,,,"Y"
"2024-05-01","'3132ACJ43'","MBS","UMBS MORTPASS 3% 02/47","30yr",,,,,"12630312763.94",,,,,,""
"2024-05-01","'3140XPHX0'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"12568171029.83",,,,,,"Y"
"2024-05-01","'3132AESB3'","MBS","UMBS MORTPASS 3.5% 04/45","30yr",,,,,"12432398108.49",,,,,,""
"2024-05-01","'3132DWBY8'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"12295924897.88",,,,,,""
"2024-05-01","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"12046208167.25",,,,,,""
"2024-05-01","'3140XN7A6'","MBS","UMBS MORTPASS 2% 01/36","15yr",,,,,"12019579180.65",,,,,,"Y"
"2024-05-01","'36179VZQ6'","MBS","GNMA II MORTPASS 2% 12/50","30yr",,,,,"11719150146.01",,,,,,""
"2024-05-01","'36179V4U1'","MBS","GNMA II MORTPASS 2% 01/51","30yr",,,,,"11711735759.53",,,,,,""
"2024-05-01","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"11507749210.49",,,,,,"Y"
"2024-05-01","'3132DWCZ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"11423328805.52",,,,,,""
"2024-05-01","'3132E0QH8'","MBS","UMBS 3.0%","30yr",,,,,"11115232971.82",,,,,,"Y"
"2024-05-01","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"10955250712.68",,,,,,"Y"
"2024-05-01","'3140XMU95'","MBS","UMBS MORTPASS 4% 08/52","30yr",,,,,"10828083695.03",,,,,,"Y"
"2024-05-01","'3140XNSM7'","MBS","UMBS MORTPASS 1.5% 02/37","15yr",,,,,"10495791889.93",,,,,,"Y"
"2024-05-01","'3132DWB69'","MBS","UMBS MORTPASS 2.5% 08/51","30yr",,,,,"10457747772.35",,,,,,""
"2024-05-01","'36179WRZ3'","MBS","GNMA II MORTPASS 2% 11/51","30yr",,,,,"10400082149.73",,,,,,""
"2024-05-01","'36179WND6'","MBS","GNMA II MORTPASS 2% 09/51","30yr",,,,,"10366218720.17",,,,,,""
"2024-05-01","'3140XPQV4'","MBS","UMBS MORTPASS 1.5% 05/51","30yr",,,,,"10187457605.61",,,,,,"Y"
"2024-05-01","'3140XNSN5'","MBS","UMBS MORTPASS 3% 04/52","30yr",,,,,"10088028666.77",,,,,,"Y"
