cmo,cusip,faceincmo,date
2024-142-1A,3618HSSR8, 1563440.00,2024-09-01
2024-142-1A,3618HSSS6, 3060270.00,2024-09-01
2024-142-1A,3618HSST4, 3236300.00,2024-09-01
2024-142-1A,3618J7BZ2, 1551705.00,2024-09-01
2024-142-1A,3618J7WU0, 29418257.00,2024-09-01
2024-142-1A,3618JBJ36, 17605301.00,2024-09-01
2024-142-1A,3618JBZ46, 3130390.00,2024-09-01
2024-142-1A,3618JBZ53, 3335200.00,2024-09-01
2024-142-1A,3618JBZ61, 2153305.00,2024-09-01
2024-142-1A,3618JC5M7, 15000000.00,2024-09-01
2024-142-1B,3618J0UU7, 11000000.00,2024-09-01
2024-142-1B,3618J2RX1, 55599041.00,2024-09-01
2024-142-1B,3618J2S93, 26626287.00,2024-09-01
2024-142-1B,3618J7B66, 2628254.00,2024-09-01
2024-142-1B,3618J9XL5, 7359387.00,2024-09-01
2024-142-1B,3618JACA9, 3769348.00,2024-09-01
2024-142-1B,3618JAGM9, 10601620.00,2024-09-01
2024-142-1B,3618JBJ36, 7488536.00,2024-09-01
2024-142-1B,3618JC5M7, 5025226.00,2024-09-01
2024-142-1B,3618JFNE8, 9973192.00,2024-09-01
2024-142-2,36179YHU1, 291276016.00,2024-09-01
2024-142-3A,3618H72R2, 1913629.00,2024-09-01
2024-142-3A,3618J5QE7, 1438491.00,2024-09-01
2024-142-3A,3618JACY7, 1568009.00,2024-09-01
2024-142-3A,3618JAKC6, 1480289.00,2024-09-01
2024-142-3A,3618JBZV6, 1383538.00,2024-09-01
2024-142-3B,3618HSYM2, 6918103.00,2024-09-01
2024-142-3B,3618J8VQ8, 3417939.00,2024-09-01
2024-142-3B,3618JAKD4, 1844705.00,2024-09-01
2024-142-3B,3618JBZW4, 1796356.00,2024-09-01
2024-142-3C,3618HSYN0, 1154711.00,2024-09-01
2024-142-3C,3618J2U41, 16332092.00,2024-09-01
2024-142-3C,3618J7CS7, 1476560.00,2024-09-01
2024-142-3C,3618JBZX2, 1181002.00,2024-09-01
2024-142-3D,3618HLPM7, 1765816.00,2024-09-01
2024-142-3D,3618HPGB2, 1037821.00,2024-09-01
2024-142-3D,3618J1MQ3, 1125907.00,2024-09-01
2024-142-3D,3618J2U58, 1879645.00,2024-09-01
2024-142-3D,3618J7BK5, 1132468.00,2024-09-01
2024-142-3D,3618J7CT5, 2329388.00,2024-09-01
2024-142-3D,3618JAKE2, 684030.00,2024-09-01
2024-142-3D,3618JBG70, 7606480.00,2024-09-01
2024-142-3D,3618JJ2C7, 1613023.00,2024-09-01
2024-142-3E,3618HVGH6, 1244263.00,2024-09-01
2024-142-3E,3618J2U74, 14606413.00,2024-09-01
2024-142-3E,3618J8VR6, 3775518.00,2024-09-01
2024-142-3E,3618J9A71, 1182927.00,2024-09-01
2024-142-3E,3618JEZS7, 1233528.00,2024-09-01
2024-142-3F,3618HANR2, 4216813.00,2024-09-01
2024-142-3F,3618HAPQ2, 1351591.00,2024-09-01
2024-142-3F,3618HEV38, 2372505.00,2024-09-01
2024-142-3F,3618HKUQ4, 4441810.00,2024-09-01
2024-142-3F,3618HL4T5, 7413158.00,2024-09-01
2024-142-3F,3618HSU46, 720238.00,2024-09-01
2024-142-3F,3618HSUF1, 8303483.00,2024-09-01
2024-142-3F,3618HSXX9, 10573030.00,2024-09-01
2024-142-3F,3618J0NJ0, 1423053.00,2024-09-01
2024-142-3F,3618J0UK9, 3713406.00,2024-09-01
2024-142-3F,3618J12D4, 1031489.00,2024-09-01
2024-142-3F,3618J1MR1, 1264162.00,2024-09-01
2024-142-3F,3618J6G97, 1982697.00,2024-09-01
2024-142-3F,3618J6ME9, 1468774.00,2024-09-01
2024-142-3F,3618J7CU2, 3797965.00,2024-09-01
