asofdate,cusip,currentfacevalue,isaggregated
2024-10-02,3132DUAA5,66996479626.58,True
2024-10-02,3140XMNV4,59699502113.59,True
2024-10-02,3140XMNU6,53319395916.44,True
2024-10-02,3140XMU61,50921690451.83,True
2024-10-02,3132DTVG2,49344959521.49,True
2024-10-02,3140XMNR3,45244694895.64,True
2024-10-02,3140XNJJ4,40225975308.57,True
2024-10-02,3140XMU87,38024667778.05,True
2024-10-02,3140XMNY8,32879660971.92,True
2024-10-02,3140XMNW2,32137192205.71,True
2024-10-02,3132E0JR4,31716946949.01,True
2024-10-02,3132DTNJ5,30171239957.18,True
2024-10-02,3140XMNZ5,29916028396.32,True
2024-10-02,3132DSET5,29257215994.67,True
2024-10-02,3132DSYZ9,29100444053.51,True
2024-10-02,3140XNRY2,29051581028.76,True
2024-10-02,3132E0JS2,28016472180.74,True
2024-10-02,3132DWCB7,25011820196.75,False
2024-10-02,3132DSMM1,24383915136.32,True
2024-10-02,3132DWCH4,22892341909.09,False
2024-10-02,3132DSTM4,22342577552.53,True
2024-10-02,3140XM6T8,21999272502.68,True
2024-10-02,3132DSES7,21943284746.25,True
2024-10-02,3140XMNS1,21567717010.96,True
2024-10-02,3132DWBB8,19804305758.24,False
2024-10-02,3132DWB51,19689326950.94,False
2024-10-02,3132DWA52,19536396452.20,False
2024-10-02,3140J8GV9,17106966566.02,True
2024-10-02,3132DWBH5,16496086591.16,False
2024-10-02,3140XN6Z2,16413518624.38,True
2024-10-02,3140XQCC9,16132355035.94,True
2024-10-02,36179WBX5,15566488575.43,False
2024-10-02,31418DZW5,15439588757.07,False
2024-10-02,3132DWCC5,14984644125.35,False
2024-10-02,3132DWCN1,14714599994.69,False
2024-10-02,36179WDQ8,14413024999.05,False
2024-10-02,36179WG36,13362422526.98,False
2024-10-02,31418D2M3,13274119257.75,False
2024-10-02,3132DWCT8,13222395696.01,False
2024-10-02,3140XNJK1,12894952215.49,True
2024-10-02,36179V7D6,12623336122.15,False
2024-10-02,36179WFG8,12492627177.82,False
2024-10-02,3140XMU79,12210744671.15,True
2024-10-02,3132ACJ43,12151457043.42,False
2024-10-02,3140XPHX0,12062503354.59,True
2024-10-02,3132AESB3,11909703487.85,False
2024-10-02,3132DTGX2,11664338251.95,True
2024-10-02,36179VTW0,11580880207.30,False
2024-10-02,3140XN7A6,11289277337.61,True
2024-10-02,36179VZQ6,11281219605.87,False
2024-10-02,36179V4U1,11270237216.38,False
2024-10-02,3132DWCZ4,11108541607.79,False
2024-10-02,3138EQK35,11049383452.66,True
2024-10-02,3132E0QH8,10708706745.93,True
2024-10-02,3138EQKR2,10503948095.83,True
2024-10-02,3140XMU95,10450796231.86,True
2024-10-02,3132DWB69,10108963883.31,False
2024-10-02,3140XNSM7,10007021752.68,True
2024-10-02,36179WRZ3,10005462034.48,False
2024-10-02,36179WND6,9977285328.16,False
2024-10-02,3140XPQV4,9918092669.05,True
2024-10-02,3140XNSN5,9737722966.66,True
2024-10-02,36179VSG6,9622852935.51,False
2024-10-02,3132DSY22,9614675924.15,True
2024-10-02,3138ETKF2,9401687137.65,True
2024-10-02,3132DWCJ0,9052803596.85,False
2024-10-02,36179VZR4,8891454748.93,False
2024-10-02,36179VXX3,8677580162.37,False
2024-10-02,3140XMNT9,8581201471.67,True
2024-10-02,3132CXJG8,8568780143.89,True
2024-10-02,36179WP93,8349026729.20,False
2024-10-02,3140XPHW2,8347977562.87,True
2024-10-02,3132DSML3,8295088674.64,True
2024-10-02,36179VMC1,8245144759.51,False
2024-10-02,3132CXL91,8160390227.41,True
2024-10-02,3140XPHT9,8154828616.52,True
2024-10-02,3132CXKE1,7987842295.15,True
2024-10-02,36179WJR0,7911303291.06,False
2024-10-02,36179V4V9,7838564993.12,False
2024-10-02,3140XPQU6,7809787898.60,True
2024-10-02,36179WJQ2,7797403371.11,False
2024-10-02,3140XPQW2,7596593478.36,True
2024-10-02,3132DSY30,7456195415.98,True
2024-10-02,3140XPYM5,7126133495.57,True
2024-10-02,3132AESU1,7087662479.63,False
2024-10-02,36179VQS2,6992233758.39,False
2024-10-02,3132AAXP4,6849118967.37,False
2024-10-02,3140XQ6S1,6815702493.17,True
2024-10-02,36179WTX6,6756438951.63,False
2024-10-02,3140XPHV4,6726676377.00,True
2024-10-02,36179WTY4,6669142292.44,False
2024-10-02,3140XQVY0,6622181112.32,True
2024-10-02,3140XQCP0,6599966591.06,True
2024-10-02,3140XPQT9,6555729719.63,True
2024-10-02,3132AAXL3,6521497040.55,False
2024-10-02,3140XQL70,6510455333.34,True
2024-10-02,36179VN22,6459772248.89,False
2024-10-02,36179VXY1,6390643742.92,False
2024-10-02,3140XQCM7,6363956609.65,True
2024-10-02,3132AESA5,6342622597.02,False
2024-10-02,3132CXJH6,6211633389.45,True
