cusip,interestrate,remainingbalance,factor,gwac,wam,wala,indicator,istbaelig,cpr,date,cdr,predictedcpr,predictedcprnext,predictedcdr,predictedcdrnext,cprnext,cdrnext
36225AAE0,8.5,192.16,.0000019,9,2,357,,,,2024-08-01,,,,,,,
36225AAF7,8.5,1.7,.00000001,9,1,357,,,,2024-08-01,,,,,,,
36225AA59,8,62.47,.00000062,8.5,2,358,,,,2024-08-01,,,,,,,
36225ABD1,8.5,41.67,.00000064,9,2,358,,,,2024-08-01,,,,,,,
36225ABK5,8,369.29,.00000161,8.5,2,358,,,,2024-08-01,,,,,,,
36225AB25,7.5,247.47,.00000176,8,3,356,,,,2024-08-01,,,,,,,
36225AB58,8,543.16,.00000469,8.5,3,356,,,,2024-08-01,,,,,,,
36225AB66,9,816.45,.00000816,9.5,,,,,,2024-08-01,,,,,,,
36225AB90,8.5,483.89,.00000353,9,3,357,,,,2024-08-01,,,,,,,
36225ACD0,8.5,699.11,.00000699,9,6,353,,,,2024-08-01,,,,,,,
36225ACJ7,9,2013.97,.00002007,9.5,4,354,,,,2024-08-01,,,,,,,
36225ACL2,8,13.64,.00000026,8.5,5,355,,,,2024-08-01,,,,,,,
36225ACM0,8,497.28,.00000287,8.5,3,356,,,,2024-08-01,,,,,,,
36225ACN8,8,219.97,.00000141,8.5,2,358,,,,2024-08-01,,,,,,,
36225ACR9,9,2261.5,.00002217,9.5,6,354,,,,2024-08-01,,,,,,,
36225ACS7,10,1.28,0,10.5,4,354,,,,2024-08-01,,,,,,,
36225ADA5,8,696.7,.00000386,8.5,5,355,,,,2024-08-01,,,,,,,
36225ADQ0,8.5,1965.46,.00005419,9,7,352,,,,2024-08-01,,,,,,,
36225ADU1,8.5,676.84,.00000305,9,5,353,,,,2024-08-01,,,,,,,
36225AEB2,7.5,1300.96,.000013,8,8,352,,,,2024-08-01,,,,,,,
36225AFB1,8.5,1854.62,.00001361,9,5,355,,,,2024-08-01,,,,,,,
36225AFF2,7.5,173.88,.00000231,8,9,350,,,,2024-08-01,,,,,,,
36225AF70,7.5,7612.12,.00006796,8,9,349,,,,2024-08-01,,,,,,,
36225AF88,7.5,2255.79,.00002211,8,9,349,,,,2024-08-01,,,,,,,
36225AGB0,7.5,881.19,.0000085,8,8,350,,,,2024-08-01,,,,,,,
36225AGC8,8,12445.69,.00003896,8.5,9,350,,,,2024-08-01,,,,,,,
