cusip,name,type,issuedate,maturitydate,originalface
36225AAE0,780005,SP,19941101,20241115,101005000
36225AAF7,780006,SP,19941101,20241115,100555641
36225AA59,780028,SP,19941201,20241115,100368973
36225ABD1,780036,SP,19941201,20241215,64259975
36225ABK5,780042,SP,19950101,20250115,229156985
36225AB25,780057,SP,19950201,20250215,140159948
36225AB58,780060,SP,19950201,20250215,115695000
36225AB66,780061,SP,19950201,20250215,100024313
36225AB90,780064,SP,19950201,20250215,136941863
36225ACD0,780068,SP,19950301,20250315,100005000
36225ACJ7,780073,SP,19950301,20250315,100336467
36225ACL2,780075,SP,19950301,20250315,52027231
36225ACM0,780076,SP,19950301,20250215,173141407
36225ACN8,780077,SP,19950301,20250315,155137760
36225ACR9,780080,SP,19950301,20250315,102004999
36225ACS7,780081,SP,19950301,20250215,367645000
36225ADA5,780097,SP,19950401,20250415,180278985
36225ADQ0,780111,SP,19950401,20250415,36265064
36225ADU1,780115,SP,19950401,20250415,221860590
36225AEB2,780130,SP,19950501,20250515,100023613
36225AFB1,780162,SP,19950601,20250615,136191619
36225AFF2,780166,SP,19950601,20250615,75184393
36225AF70,780190,SP,19950701,20250715,112000001
36225AF88,780191,SP,19950701,20250715,102005000
36225AGB0,780194,SP,19950701,20250715,103584817
36225AGC8,780195,SP,19950701,20250715,319428830
36225AGH7,780200,SP,19950701,20250715,217703599
36225AGM6,780204,SP,19950701,20250715,100969187
36225AGQ7,780207,SP,19950801,20250715,50318311
36225AGV6,780212,SP,19950801,20250815,119185000
36225AGW4,780213,SP,19950801,20250815,168804011
36225AG46,780219,SP,19950801,20250815,51005000
36225AG53,780220,SP,19950801,20250815,187691413
36225AG95,780224,SP,19950801,20250815,126255000
36225AHB9,780226,SP,19950801,20250815,132645000
36225AHS2,780241,SP,19950901,20250915,107350409
36225AHY9,780247,SP,19950901,20250915,173627723
36225AH29,780249,SP,19950901,20250915,102162000
36225AH37,780250,SP,19950901,20250915,104305000
36225AJY7,780279,SP,19951101,20251115,50404315
36225AKL3,780299,SP,19960101,20260115,102004999
36225AMA5,780353,SP,19960401,20251115,17344999
36225AMC1,780355,SP,19960401,20260415,25504999
36225AMF4,780358,SP,19960401,20260415,214199986
36225ANQ9,780399,SP,19960701,20260715,500005000
36225ANR7,780400,SP,19960701,20251215,198005000
36225ANT3,780402,SP,19960701,20260515,101005000
36225AN30,780410,SP,19960801,20260815,776205000
36225AN55,780412,SP,19960801,20260815,300277239
36225AN63,780413,SP,19960801,20260715,36004999
36225AN89,780415,SP,19960801,20260815,50005010
36225APA2,780417,SP,19960801,20260815,100005000
36225APD6,780420,SP,19960801,20260815,100005000
36225APE4,780421,SP,19960801,20260815,81107000
36225APF1,780422,SP,19960801,20260815,101005000
36225APN4,780429,SP,19960901,20260915,150005000
36225APS3,780433,SP,19960901,20260915,101100000
36225APV6,780436,SP,19960901,20260915,50005000
36225AQA1,780449,SP,19961001,20261015,100005000
36225AQD5,780452,SP,19961001,20261015,100005000
36225AQE3,780453,SP,19961001,20251215,103005000
36225AQF0,780454,SP,19961001,20261015,171005000
36225AQL7,780459,SP,19961101,20261115,198005000
36225AQQ6,780463,SP,19961101,20261115,247605000
36225AQR4,780464,SP,19961101,20261115,247605000
36225AQS2,780465,SP,19961101,20261115,198100004
36225AQ60,780477,SP,19961201,20260115,35005000
36225AQ78,780478,SP,19961201,20261215,75755000
36225ARA0,780481,SP,19961201,20261215,63005000
36225ARE2,780485,SP,19961201,20261215,50039169
36225ARS1,780497,SP,19970101,20270115,228040400
36225ART9,780498,SP,19970101,20270115,238604229
36225ARU6,780499,SP,19970101,20270115,121005000
36225ARW2,780501,SP,19970101,20261215,125005000
36225AR69,780509,SP,19970201,20270215,297005999
36225AR93,780512,SP,19970201,20251215,25005000
36225ASA9,780513,SP,19970201,20270215,200652967
36225ASF8,780518,SP,19970201,20260615,106109421
36225ASJ0,780521,SP,19970301,20260215,140526990
36225ASM3,780524,SP,19970301,20260715,60679063
36225ASN1,780525,SP,19970301,20270315,101005000
36225ASR2,780528,SP,19970301,20270315,200005000
36225AST8,780530,SP,19970301,20270315,202005000
36225ASV3,780532,SP,19970301,20270315,302996154
36225AS27,780537,SP,19970401,20260815,25255000
36225AS68,780541,SP,19970401,20260715,29005000
36225AS92,780544,SP,19970401,20251215,50435617
36225ATA8,780545,SP,19970401,20270415,101035000
36225ATB6,780546,SP,19970401,20270415,202005000
36225ATG5,780551,SP,19970401,20270415,100005000
36225ATH3,780552,SP,19970401,20251215,51834085
36225ATT7,780562,SP,19970501,20270515,25250000
36225ATU4,780563,SP,19970501,20241215,101004998
36225ATV2,780564,SP,19970501,20270515,50505000
36225AT34,780570,SP,19970501,20270515,1000005000
36225AUC2,780579,SP,19970601,20270615,100005000
36225AUD0,780580,SP,19970601,20270615,349532884
36225AUG3,780583,SP,19970601,20270615,129881984
36225AUH1,780584,SP,19970601,20270615,745505000
36225AUJ7,780585,SP,19970601,20270615,18341009
36225AUL2,780587,SP,19970601,20270615,100005000
36225AUM0,780588,SP,19970601,20270615,198006485
36225AUN8,780589,SP,19970601,20270615,130785000
36225AUY4,780599,SP,19970701,20241215,75497958
36225AU24,780601,SP,19970701,20270715,1000005000
36225AU40,780603,SP,19970701,20270715,199018686
36225AVE7,780613,SP,19970801,20270815,101077298
36225AVG2,780615,SP,19970801,20270815,1000005000
36225AVK3,780618,SP,19970801,20270815,137616541
36225AVM9,780620,SP,19970801,20270815,50005000
36225AVP2,780622,SP,19970801,20270815,259005000
36225AVQ0,780623,SP,19970801,20270815,338491277
36225AVR8,780624,SP,19970801,20241215,116035395
36225AVS6,780625,SP,19970801,20270815,202315098
36225AVT4,780626,SP,19970801,20270815,202005000
36225AVV9,780628,SP,19970901,20270915,50005000
36225AVY3,780631,SP,19970901,20270915,100005000
36225AV72,780638,SP,19970901,20270915,198005000
36225AWB2,780642,SP,19970901,20270915,100054999
36225AWC0,780643,SP,19970901,20241215,100159417
36225AWD8,780644,SP,19970901,20270915,137005000
36225AWK2,780650,SP,19971001,20271015,303005000
36225AWL0,780651,SP,19971001,20271015,756495000
36225AWN6,780653,SP,19971001,20271015,606005000
36225AWP1,780654,SP,19971001,20271015,198471929
36225AWQ9,780655,SP,19971001,20271015,100155992
36225AWR7,780656,SP,19971001,20271015,300048471
36225AWX4,780662,SP,19971001,20261215,16083040
36225AW97,780672,SP,19971101,20271120,100005000
36225AXA3,780673,SP,19971101,20271120,200005000
36225AXD7,780676,SP,19971101,20271115,40005000
36225AXF2,780678,SP,19971101,20271115,200005000
36225AXH8,780680,SP,19971101,20271115,303055000
36225AXJ4,780681,SP,19971201,20250615,33140430
36225AXM7,780684,SP,19971201,20271215,25775202
36225AXN5,780685,SP,19971201,20271215,297005000
36225AXS4,780689,SP,19971201,20271215,167699398
36225AXT2,780690,SP,19971201,20271220,325005000
36225AXV7,780692,SP,19971201,20271220,150005000
36225AYM6,780716,SP,19980201,20280215,143965012
36225AYN4,780717,SP,19980201,20280215,125002768
36225AYP9,780718,SP,19980201,20261215,80005000
36225AYR5,780720,SP,19980201,20251215,90005000
36225AYS3,780721,SP,19980201,20280220,220893778
36225AYZ7,780728,SP,19980301,20280315,110114545
36225AY46,780731,SP,19980301,20280315,75005000
36225AY53,780732,SP,19980301,20280315,134294191
36225AY79,780734,SP,19980301,20280315,225005000
36225AZA1,780737,SP,19980301,20280315,50009861
36225AZD5,780740,SP,19980301,20280320,19600733
36225AZG8,780743,SP,19980301,20261215,150005000
36225AZL7,780747,SP,19980301,20280315,445505000
36225AZM5,780748,SP,19980301,20280320,250030003
36225AZN3,780749,SP,19980301,20280320,250030003
36225AZP8,780750,SP,19980301,20271215,126310188
36225AZQ6,780751,SP,19980301,20280215,60335083
36225A2B5,780770,SP,19980401,20280415,290126814
36225A2E9,780773,SP,19980401,20280415,150067417
36225A2H2,780776,SP,19980401,20280415,202005000
36225A2J8,780777,SP,19980401,20280415,150605000
36225A2V1,780788,SP,19980501,20280415,100005000
36225A3A6,780793,SP,19980501,20280515,249485000
36225A3C2,780795,SP,19980501,20271115,40005000
36225A3E8,780797,SP,19980501,20280515,297005000
36225A3F5,780798,SP,19980501,20271215,222812087
36225A3G3,780799,SP,19980501,20280515,52505000
36225A3K4,780802,SP,19980501,20280515,303960825
36225A3L2,780803,SP,19980501,20280515,220135164
36225A3T5,780810,SP,19980601,20280615,100005000
36225A3U2,780811,SP,19980601,20280515,150005000
36225A3V0,780812,SP,19980601,20271115,10313053
36225A3W8,780813,SP,19980601,20280615,336005000
36225A3X6,780814,SP,19980601,20280615,100005000
36225A4A5,780817,SP,19980601,20280615,101077999
36225A4E7,780821,SP,19980701,20280115,101192047
36225A4F4,780822,SP,19980701,20280715,55005000
36225A4H0,780824,SP,19980701,20280715,207646849
36225A4J6,780825,SP,19980701,20280715,350005000
36225A4L1,780827,SP,19980701,20280715,200005000
