cusip,interestrate,remainingbalance,factor,gwac,wam,wala,date
3618BDTC9,5,4439504,1,5.544,360,0,2024-10-01
3618BDTD7,5.5,5497347.92,1,6.188,360,0,2024-10-01
3618GS4C8,6.5,1128296.01,1,7.02,359,1,2024-10-01
3618GVMA5,5.5,1184104,1,5.974,360,0,2024-10-01
3618GWJW9,5.5,3229438.12,1,5.847,352,0,2024-10-01
3618GWJX7,6,5509807.71,1,6.25,360,0,2024-10-01
3618GWJY5,6,4363205.08,1,6.5,360,0,2024-10-01
3618GWJZ2,6.5,7207831.55,1,6.75,357,0,2024-10-01
3618GWJ25,6.5,1754788.97,1,7,359,1,2024-10-01
3618H0N94,5.5,1275132.05,1,6.204,359,1,2024-10-01
3618H0PB7,5.125,740928.05,1,5.625,359,1,2024-10-01
3618H0PC5,5.25,8662467.15,1,5.75,359,1,2024-10-01
3618H0PD3,5.5,1564606.46,1,6,359,1,2024-10-01
3618H0PE1,5.25,400879.65,1,5.75,356,4,2024-10-01
3618H0PF8,5.625,686675.63,1,6.125,357,3,2024-10-01
3618H0PG6,5.875,2672357.53,1,6.375,356,3,2024-10-01
3618H0PM3,6,2446367.25,1,6.625,358,1,2024-10-01
3618H0PN1,6,3565711.22,1,6.625,358,1,2024-10-01
3618H0PP6,6,24995918.92,1,6.625,359,1,2024-10-01
3618H0PQ4,6.5,1133727.09,1,6.75,358,1,2024-10-01
3618H0PR2,6.5,2350817.35,1,6.75,358,1,2024-10-01
3618H0PS0,6.5,5462221.28,1,6.75,357,1,2024-10-01
3618H0PT8,6.5,74173627.75,1,6.75,358,1,2024-10-01
3618H0PU5,6.5,200955.05,1,7,358,2,2024-10-01
3618H0PV3,6,210722.29,1,6.5,358,2,2024-10-01
3618H0PW1,5.5,118928.49,1,6,359,1,2024-10-01
3618H0PX9,5.5,5649155.58,1,6.218,359,1,2024-10-01
3618H0PY7,6,3758318.04,1,6.714,356,1,2024-10-01
3618H0PZ4,5.5,2401463.4,1,6.234,360,0,2024-10-01
3618H0P27,6,1630046.76,1,6.726,359,1,2024-10-01
3618H05L7,6,1131333.72,1,6.688,360,0,2024-10-01
3618H05W3,6.5,1268156.07,1,7.106,359,1,2024-10-01
3618H05X1,6,1130058.41,1,6.625,360,0,2024-10-01
3618H6TK0,6.5,877751.45,1,7.197,472,5,2024-10-01
3618H6TL8,7,531337.69,1,7.418,478,2,2024-10-01
3618H7HF2,5.5,1739941,1,5.979,360,0,2024-10-01
3618H9B72,6,1820748.2,1,6.5,356,1,2024-10-01
3618H9B80,6,1097297.92,1,6.5,358,1,2024-10-01
3618H9B98,6,2319923.65,1,6.5,356,1,2024-10-01
3618H9CA4,6,4981259.59,1,6.5,358,1,2024-10-01
3618H9CB2,6,4498147.08,1,6.5,358,1,2024-10-01
3618H9CC0,6,4875700.18,1,6.5,357,1,2024-10-01
3618H9CD8,6,11019556.37,1,6.5,358,1,2024-10-01
3618H9CE6,6.5,1543069.29,1,7,356,3,2024-10-01
3618H9CF3,6.25,3005577.23,1,6.75,356,3,2024-10-01
3618H9CG1,6,688629.9,1,6.5,359,1,2024-10-01
3618H9CH9,6.5,1628957.23,1,7.112,359,1,2024-10-01
3618H9CL0,6,18489229.23,1,6.715,359,1,2024-10-01
3618H9CM8,5.5,37535584.12,1,6.207,359,0,2024-10-01
3618H9CN6,6,11274141.39,1,6.712,359,1,2024-10-01
3618H9CS5,6.5,6317894.97,1,7.17,359,1,2024-10-01
3618H9CV8,5.5,3606495.83,1,6.2,359,0,2024-10-01
3618H9CW6,5.5,2660708.27,1,6.202,359,1,2024-10-01
3618H9CX4,6.5,2167922.92,1,7.25,359,1,2024-10-01
3618H9CY2,7,13627128.38,1,7.373,358,1,2024-10-01
3618H9CZ9,7,60287686.98,1,7.384,359,1,2024-10-01
3618H9C22,6.5,2015362.99,1,7.25,359,1,2024-10-01
3618H9C30,6,5192949.19,1,6.736,359,1,2024-10-01
3618H9C55,6,2470047.32,1,6.738,359,1,2024-10-01
3618H9C63,6.5,1441705.13,1,7.184,359,1,2024-10-01
3618H9C71,6,2211304.54,1,6.704,359,1,2024-10-01
3618H9C89,6,2020495.89,1,6.722,356,1,2024-10-01
3618H9C97,7,1738849.96,1,7.581,358,2,2024-10-01
3618H9DA3,7.5,471504.25,1,7.847,358,2,2024-10-01
3618H9DB1,5.5,1534345.1,1,6.195,359,1,2024-10-01
3618H9DC9,5.5,1643689.76,1,6.194,352,1,2024-10-01
3618H9DD7,5.5,2528490.92,1,6.216,359,1,2024-10-01
3618H9DE5,5,15039034.07,1,5.732,358,0,2024-10-01
3618H9DF2,5,2000049.43,1,5.678,359,0,2024-10-01
3618H9DH8,5,1873611.58,1,5.74,359,1,2024-10-01
3618H9DK1,6,18564044.46,1,6.567,359,1,2024-10-01
3618H9DL9,6.5,29104595.83,1,6.964,359,1,2024-10-01
3618H9DM7,6.5,35349588.56,1,6.966,359,1,2024-10-01
3618H9DN5,5.5,61051755.33,1,6.176,359,1,2024-10-01
3618H9DQ8,7.5,3511681.47,1,7.769,358,2,2024-10-01
3618H9DR6,6.5,4860719.46,1,6.952,359,1,2024-10-01
3618H9DT2,6.5,3226888.99,1,6.962,358,1,2024-10-01
3618H9DU9,7,6167861.46,1,7.416,359,1,2024-10-01
3618H9DX3,5,24573380.97,1,5.725,359,1,2024-10-01
3618H9DY1,6,1454227.61,1,6.75,359,1,2024-10-01
3618H9D21,6.5,1707063.93,1,6.94,359,1,2024-10-01
3618H9D47,7,4950761.22,1,7.429,358,1,2024-10-01
3618H9D54,6,1245153.63,1,6.503,359,1,2024-10-01
3618H9D62,7,1070631.17,1,7.617,359,1,2024-10-01
3618H9D88,4.5,2334451.23,1,5.25,359,1,2024-10-01
3618H9D96,7,1299674.38,1,7.414,359,1,2024-10-01
3618H9EE4,7,1358953.19,1,7.75,359,1,2024-10-01
3618HGBL5,5,3464027,1,5.551,360,0,2024-10-01
3618HGBM3,5,27465349,1,5.545,360,0,2024-10-01
3618HGBN1,5.5,3447008,1,6.081,359,0,2024-10-01
3618HGBP6,5.5,2783179,1,6.095,360,0,2024-10-01
3618HGBQ4,5.5,4302195,1,6.087,360,0,2024-10-01
3618HGBR2,5.5,17573700.33,1,6.083,360,0,2024-10-01
3618HGBS0,6,4855237,1,6.595,360,0,2024-10-01
3618HGBT8,6,4004506,1,6.595,360,0,2024-10-01
3618HGBU5,6,2699794.56,1,6.609,360,0,2024-10-01
3618HGBV3,6,15079128,1,6.576,360,0,2024-10-01
3618HGBW1,6.5,1714120,1,7.043,360,0,2024-10-01
3618HHXS4,7,9997996.93,1,7.457,353,0,2024-10-01
3618HPZT2,5,2004691.48,1,5.697,359,1,2024-10-01
3618HPZW5,5.5,3139447.62,1,6.237,360,0,2024-10-01
3618HP3Y6,5.5,1095006.91,1,6.233,359,1,2024-10-01
3618HP3Z3,5.5,1275894.24,1,6.25,359,1,2024-10-01
3618HP4A7,5.5,1185128.92,1,6.25,360,0,2024-10-01
3618HP4B5,5.5,1332391.1,1,6.225,347,1,2024-10-01
3618HP4C3,5.5,1410953.73,1,6.2,359,1,2024-10-01
3618HP4D1,5.5,1867593.2,1,6.25,359,1,2024-10-01
3618HP4E9,6,1073731.54,1,6.75,345,1,2024-10-01
3618HP4F6,6,1130012.21,1,6.713,359,1,2024-10-01
3618HP4G4,6,1902151.91,1,6.735,359,1,2024-10-01
3618HP4H2,6,1186987.28,1,6.725,359,1,2024-10-01
3618HP4J8,6,2593845.17,1,6.623,360,0,2024-10-01
3618HP4K5,6,1546474.42,1,6.75,359,1,2024-10-01
3618HP4L3,6,8033754.18,1,6.722,359,1,2024-10-01
3618HP4M1,6,3863498.84,1,6.404,359,1,2024-10-01
3618HP4N9,6.5,1057147.17,1,7.25,359,1,2024-10-01
3618HP4P4,6.5,3639185.91,1,7.237,359,1,2024-10-01
3618HP4Q2,6.5,1535746.86,1,7.25,359,1,2024-10-01
3618HP7D8,5.5,1334179.73,1,6.198,359,1,2024-10-01
3618HP7E6,5.5,3885094,1,6.238,360,0,2024-10-01
3618HP7F3,5.5,1216866.27,1,6.225,359,0,2024-10-01
3618HP7G1,5.5,1575588.51,1,6.25,348,0,2024-10-01
3618HP7H9,5.5,1431924,1,6.25,360,0,2024-10-01
3618HP7J5,5.5,1337939.31,1,6.25,359,1,2024-10-01
3618HP7K2,6,1530517.25,1,6.75,359,1,2024-10-01
3618HP7L0,6,4017810.23,1,6.75,359,1,2024-10-01
3618HP7M8,6,1140843.78,1,6.75,360,0,2024-10-01
3618HQAA8,6,1703030.86,1,6.734,359,1,2024-10-01
3618HQAB6,6,1028580.63,1,6.623,358,0,2024-10-01
3618HQAC4,5,1045512.33,1,5.701,359,1,2024-10-01
3618HQAD2,5.5,1350102.24,1,6.25,360,0,2024-10-01
3618HQAE0,5.5,1476707.93,1,6.214,342,1,2024-10-01
3618HQAF7,5.5,1299853.56,1,6.225,360,0,2024-10-01
3618HQAG5,5.5,1151392.34,1,6.25,360,0,2024-10-01
3618HQAH3,6,1164571,1,6.75,360,0,2024-10-01
3618HQAJ9,6,3341688.58,1,6.75,360,0,2024-10-01
3618HQAK6,5.5,2224998.83,1,6.25,360,0,2024-10-01
3618HQAL4,6,1092322.55,1,6.75,359,1,2024-10-01
3618HQAM2,5.5,1472723.84,1,6.25,351,0,2024-10-01
3618HQAN0,6,1267096.98,1,6.75,359,1,2024-10-01
3618HQAP5,6,1543948.81,1,6.75,359,1,2024-10-01
3618HQAQ3,6,1173352.4,1,6.75,360,0,2024-10-01
3618HQAR1,6,1804001.98,1,6.75,360,0,2024-10-01
3618HQAS9,6.5,1113735.89,1,7.233,359,1,2024-10-01
3618HQAT7,6.5,1486073.51,1,7.234,359,1,2024-10-01
3618HQAU4,5.5,1689544.84,1,6.233,359,0,2024-10-01
3618HQAV2,6,1154535,1,6.75,360,0,2024-10-01
3618HQAW0,6,1261393,1,6.75,360,0,2024-10-01
3618HQAX8,6,1548042,1,6.75,360,0,2024-10-01
3618HQAY6,6,1298685.87,1,6.75,360,0,2024-10-01
3618HQAZ3,6,1076597.62,1,6.75,360,0,2024-10-01
3618HQA26,6,1185204.72,1,6.75,360,0,2024-10-01
3618HQA34,6,3456003.26,1,6.75,360,0,2024-10-01
3618HQA42,6,1289934,1,6.347,360,0,2024-10-01
3618HQA59,6,1163634,1,6.428,360,0,2024-10-01
3618HQA67,6,1395384.39,1,6.641,360,0,2024-10-01
3618HQA75,5,2353211,1,5.637,354,0,2024-10-01
3618HQBA7,5,1358520.55,1,5.595,359,1,2024-10-01
3618HQBB5,5.5,1316421.56,1,6.218,360,0,2024-10-01
3618HQBC3,5.5,2937444.41,1,6.227,360,0,2024-10-01
3618HQBD1,5.5,3758134,1,6.25,360,0,2024-10-01
3618HQBE9,6,1194681.53,1,6.75,359,1,2024-10-01
3618HQBF6,6,2089711,1,6.735,360,0,2024-10-01
3618HQBG4,6,1344628.89,1,6.689,360,0,2024-10-01
3618HQBH2,6,1811017,1,6.75,360,0,2024-10-01
3618HQBJ8,6.5,1102851.23,1,7.25,359,1,2024-10-01
3618HQBK5,7,1861709.49,1,7.728,359,1,2024-10-01
3618HQBQ2,5.5,1599492,1,6.25,360,0,2024-10-01
3618HQBR0,5.5,1452574,1,6.187,360,0,2024-10-01
3618HQBS8,6,3905431.82,1,6.738,360,0,2024-10-01
3618HQBT6,6,1150491,1,6.479,360,0,2024-10-01
3618HQBU3,6.5,1264076.03,1,7.25,360,0,2024-10-01
3618HSRE8,6,1001530.17,1,6.459,358,1,2024-10-01
3618HTAB0,5,1146504,1,5.572,343,0,2024-10-01
3618HTAC8,5.5,2419479,1,6.109,352,0,2024-10-01
3618HTAV6,5,3092459.48,1,5.625,358,2,2024-10-01
3618HTAW4,5.5,2127254.49,1,5.956,359,1,2024-10-01
3618HTAX2,6,1082064,1,6.507,360,0,2024-10-01
3618HTAY0,5,1188949,1,5.61,360,0,2024-10-01
3618HTAZ7,5.5,1291206,1,6.056,360,0,2024-10-01
3618HTVE1,6.5,2099400.9,1,6.895,350,1,2024-10-01
3618HVA41,5,1924728.19,1,5.675,359,1,2024-10-01
3618HVA66,6,2189882.34,1,6.721,359,1,2024-10-01
3618HVA82,5.5,2896977.81,1,6.185,359,1,2024-10-01
3618HWMZ7,6,195841.52,1,6.5,357,3,2024-10-01
3618HWM20,5.75,294005.56,1,6.25,358,2,2024-10-01
3618HWM38,5.75,277513.44,1,6.25,359,1,2024-10-01
3618HWM46,5.5,227045.75,1,6,359,1,2024-10-01
3618HWM53,5.63,252554.37,1,6.13,357,3,2024-10-01
3618HWM61,5.6,2367240.3,1,6.1,359,1,2024-10-01
3618HWM79,5.75,539150.5,1,6.25,358,2,2024-10-01
3618HWM87,6.08,194239.96,1,6.58,359,1,2024-10-01
3618HWM95,6,7053190.28,1,6.59,357,1,2024-10-01
3618HWNA1,6,988619.04,1,6.609,359,1,2024-10-01
3618HWNB9,6.5,14422060.83,1,6.937,356,2,2024-10-01
3618HWNC7,6.5,5345382.95,1,6.978,357,2,2024-10-01
3618HWND5,7,2462886.3,1,7.3,357,2,2024-10-01
3618HWNE3,7,781478.28,1,7.34,357,3,2024-10-01
3618HWNF0,6,1369533.88,1,6.698,358,1,2024-10-01
3618HWNG8,5.5,1192280.7,1,6.119,359,1,2024-10-01
3618HWNH6,7,1222457.87,1,7.448,358,2,2024-10-01
3618HXKH7,7,1644996.54,1,7.258,478,2,2024-10-01
3618HXKJ3,7,1049210.79,1,7.25,358,1,2024-10-01
3618HXKK0,6.5,1993627.35,1,7.146,350,0,2024-10-01
3618HXKL8,6.5,1898190.65,1,7,479,1,2024-10-01
3618HXKM6,6.5,2555850.46,1,7.055,348,1,2024-10-01
3618HXKN4,6.5,1922670.07,1,7.004,353,0,2024-10-01
3618HXKP9,6.5,3407754.25,1,7.132,350,1,2024-10-01
3618HXKQ7,6.5,4054553.56,1,7.075,357,0,2024-10-01
3618HXKR5,6.5,1036313.4,1,7.01,353,0,2024-10-01
3618HXKS3,6,1423693.85,1,6.402,360,0,2024-10-01
3618HXKT1,6,5164761.5,1,6.511,353,0,2024-10-01
3618HXKU8,6,2545392.87,1,6.557,357,0,2024-10-01
3618HXKV6,6,2303726.41,1,6.561,354,0,2024-10-01
3618HXKW4,6,5238050.82,1,6.583,356,0,2024-10-01
3618HXKX2,6,2359853.7,1,6.552,353,1,2024-10-01
3618HXKY0,5.5,1816396.75,1,6.061,349,0,2024-10-01
3618HXKZ7,5.5,7246941.29,1,6.031,351,0,2024-10-01
3618HXYS8,5.5,1119575.59,1,5.987,360,0,2024-10-01
3618HYH22,6,2045300.81,1,6.642,476,2,2024-10-01
3618HYMG5,5.5,1008457.13,1,6.094,359,1,2024-10-01
3618HYMH3,5.5,2130893.7,1,6.105,359,1,2024-10-01
3618HYMJ9,5,1013209,1,5.555,360,0,2024-10-01
3618HYXV0,5,1822406,1,5.722,338,0,2024-10-01
