cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618BDTC9,CT7747,C,SF,20241001,20541020,4439504,False
3618BDTD7,CT7748,C,SF,20241001,20541020,5497347,False
3618GS4C8,DA3519,C,SF,20241001,20541020,1128296,False
3618GVMA5,DA5753,C,SF,20241001,20541020,1184104,False
3618GWJW9,DA6577,C,SF,20241001,20541020,3229438,False
3618GWJX7,DA6578,C,SF,20241001,20541020,5509807,False
3618GWJY5,DA6579,X,SF,20241001,20541015,4363205,True
3618GWJZ2,DA6580,C,SF,20241001,20541020,7207831,False
3618GWJ25,DA6581,X,SF,20241001,20541015,1754788,True
3618H0N94,DA9416,C,SF,20241001,20540920,1275132,False
3618H0PB7,DA9418,C,SF,20241001,20540920,740928,False
3618H0PC5,DA9419,C,SF,20241001,20541020,8662467,False
3618H0PD3,DA9420,C,SF,20241001,20540920,1564606,False
3618H0PE1,DA9421,C,SF,20241001,20540620,400879,False
3618H0PF8,DA9422,C,SF,20241001,20540720,686675,False
3618H0PG6,DA9423,C,SF,20241001,20540920,2672357,False
3618H0PM3,DA9428,C,SF,20241001,20541020,2446367,False
3618H0PN1,DA9429,C,SF,20241001,20541020,3565711,False
3618H0PP6,DA9430,C,SF,20241001,20541020,24995918,False
3618H0PQ4,DA9431,C,SF,20241001,20540920,1133727,False
3618H0PR2,DA9432,C,SF,20241001,20541020,2350817,False
3618H0PS0,DA9433,C,SF,20241001,20540920,5462221,False
3618H0PT8,DA9434,C,SF,20241001,20541020,74173627,False
3618H0PU5,DA9435,C,SF,20241001,20540820,200955,False
3618H0PV3,DA9436,C,SF,20241001,20540820,210722,False
3618H0PW1,DA9437,C,SF,20241001,20540920,118928,False
3618H0PX9,DA9438,C,SF,20241001,20541020,5649155,False
3618H0PY7,DA9439,C,SF,20241001,20540920,3758318,False
3618H0PZ4,DA9440,C,SF,20241001,20541020,2401463,False
3618H0P27,DA9441,C,SF,20241001,20540920,1630046,False
3618H05L7,DA9851,C,SF,20241001,20541020,1131333,False
3618H05W3,DA9861,C,SF,20241001,20541020,1268156,False
3618H05X1,DA9862,C,SF,20241001,20541020,1130058,False
3618H6TK0,DB4154,C,ET,20241001,20640920,877751,False
3618H6TL8,DB4155,C,ET,20241001,20640920,531337,False
3618H7HF2,DB4730,C,SF,20241001,20541020,1739941,False
3618H9B72,DB6362,C,SF,20241001,20540920,1820748,False
3618H9B80,DB6363,C,SF,20241001,20540920,1097297,False
3618H9B98,DB6364,C,SF,20241001,20540920,2319923,False
3618H9CA4,DB6365,C,SF,20241001,20540920,4981259,False
3618H9CB2,DB6366,C,SF,20241001,20540920,4498147,False
3618H9CC0,DB6367,C,SF,20241001,20540920,4875700,False
3618H9CD8,DB6368,C,SF,20241001,20540920,11019556,False
3618H9CE6,DB6369,C,SF,20241001,20540820,1543069,False
3618H9CF3,DB6370,X,SF,20241001,20540915,3005577,True
3618H9CG1,DB6371,C,SF,20241001,20540920,688629,False
3618H9CH9,DB6372,C,SF,20241001,20541020,1628957,False
3618H9CL0,DB6375,C,SF,20241001,20541020,18489229,False
3618H9CM8,DB6376,C,SF,20241001,20541020,37535584,False
3618H9CN6,DB6377,C,SF,20241001,20541020,11274141,False
3618H9CS5,DB6381,C,SF,20241001,20540920,6317894,False
3618H9CV8,DB6384,C,SF,20241001,20541020,3606495,False
3618H9CW6,DB6385,C,SF,20241001,20541020,2660708,False
3618H9CX4,DB6386,C,SF,20241001,20541020,2167922,False
